,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
1035,Karl-Anthony Towns,Timberwolves,fgm,7.5,-150,under,0.6698308783593809,0.581923986328174,0.6000000000000001,189,0.13774690875551573,0.02348269994327851,4.865888892173289,41.58454106280192
1036,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,189,0.13774690875551573,0.02348269994327851,4.865888892173289,41.58454106280192
1037,Nickeil Alexander-Walker,Timberwolves,fgm,2.5,125,over,0.6365411418481235,2.161087845791389,0.4444444444444444,189,0.13774690875551573,0.02348269994327851,4.865888892173289,41.58454106280192
1033,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,189,0.13774690875551573,0.02348269994327851,4.865888892173289,41.58454106280192
1032,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,189,0.13774690875551573,0.02348269994327851,4.865888892173289,41.58454106280192
1034,Daniel Gafford,Mavericks,points,8.5,100,over,0.67166621931889,1.7166621931889006,0.5,189,0.13774690875551573,0.02348269994327851,4.865888892173289,41.58454106280192
1947,Daniel Gafford,Mavericks,points,8.5,100,over,0.67166621931889,1.7166621931889006,0.5,359,0.16156704565373836,0.029737079176537323,4.433184768906807,32.62805049088359
1948,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,359,0.16156704565373836,0.029737079176537323,4.433184768906807,32.62805049088359
1949,Jaden McDaniels,Timberwolves,assists,1.5,-155,under,0.6197539005607728,0.09797563364506656,0.607843137254902,359,0.16156704565373836,0.029737079176537323,4.433184768906807,32.62805049088359
1946,Nickeil Alexander-Walker,Timberwolves,points,6.5,105,over,0.8039323944890402,3.2403070435126615,0.48780487804878053,359,0.16156704565373836,0.029737079176537323,4.433184768906807,32.62805049088359
1945,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,359,0.16156704565373836,0.029737079176537323,4.433184768906807,32.62805049088359
1944,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,359,0.16156704565373836,0.029737079176537323,4.433184768906807,32.62805049088359
1686,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,310,0.15436937305407458,0.028594212632266424,4.398622967497987,33.97211176472735
1691,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,310,0.15436937305407458,0.028594212632266424,4.398622967497987,33.97211176472735
1690,Kyrie Irving,Mavericks,points,21.5,-120,over,0.6745526571181601,1.183399356916469,0.5454545454545454,310,0.15436937305407458,0.028594212632266424,4.398622967497987,33.97211176472735
1689,Anthony Edwards,Timberwolves,blocks,0.5,-150,under,0.697676326071031,0.813969383925258,0.6000000000000001,310,0.15436937305407458,0.028594212632266424,4.398622967497987,33.97211176472735
1688,Naz Reid,Timberwolves,fgm,3.5,-105,over,0.7514164433525283,2.335255756536586,0.5121951219512195,310,0.15436937305407458,0.028594212632266424,4.398622967497987,33.97211176472735
1687,Naz Reid,Timberwolves,rebounds,3.5,-165,over,0.7514164433525283,1.0341017420733332,0.6226415094339623,310,0.15436937305407458,0.028594212632266424,4.398622967497987,33.97211176472735
2034,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,377,0.1378457410466414,0.02578713181352337,4.345524350806317,37.779031620553354
2035,Nickeil Alexander-Walker,Timberwolves,points,6.5,105,over,0.8039323944890402,3.2403070435126615,0.48780487804878053,377,0.1378457410466414,0.02578713181352337,4.345524350806317,37.779031620553354
2037,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6712179198083947,1.0409612782755526,0.5555555555555556,377,0.1378457410466414,0.02578713181352337,4.345524350806317,37.779031620553354
2038,Mike Conley,Timberwolves,points,11.5,-110,over,0.6707321400195996,1.4024431547325418,0.5238095238095238,377,0.1378457410466414,0.02578713181352337,4.345524350806317,37.779031620553354
2039,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,377,0.1378457410466414,0.02578713181352337,4.345524350806317,37.779031620553354
2036,Kyrie Irving,Mavericks,points,21.5,-120,over,0.6745526571181601,1.183399356916469,0.5454545454545454,377,0.1378457410466414,0.02578713181352337,4.345524350806317,37.779031620553354
0,Nickeil Alexander-Walker,Timberwolves,points,6.5,105,over,0.8039323944890402,3.2403070435126615,0.48780487804878053,0,0.11856990197290519,0.02246327664081633,4.278388539161769,43.51710300281729
2,Mike Conley,Timberwolves,points,11.5,-110,over,0.6707321400195996,1.4024431547325418,0.5238095238095238,0,0.11856990197290519,0.02246327664081633,4.278388539161769,43.51710300281729
