,id,player_id,game_id,points,assists,rebounds,steals,blocks,turnovers,fouls,minutes,fg_made,fg_attempts,fg_percentage,fg3_made,fg3_attempts,fg3_percentage,ft_made,ft_attempts,ft_percentage,plus_minus,id_1,name,nickname,player_slug,jersey_number,position,height,weight,birth_date,age,experience,school,player_id_1,how_acquired,team_id,date,team
0,25833,19,42300202,25,6,7,1,0,1,3,38,7,17,0.412,2,5,0.4,9,11,0.818,-22,19,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210.0,1998-03-03,26,6,Duke,1628369,#3 Pick in 2017 Draft,1610612738,2024-05-09,Celtics
1,25834,19,42300201,18,5,11,0,3,1,3,35,7,19,0.368,0,5,0.0,4,4,1.0,18,19,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210.0,1998-03-03,26,6,Duke,1628369,#3 Pick in 2017 Draft,1610612738,2024-05-07,Celtics
2,25835,19,42300105,16,3,12,0,1,2,2,32,4,9,0.444,2,4,0.5,6,9,0.667,35,19,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210.0,1998-03-03,26,6,Duke,1628369,#3 Pick in 2017 Draft,1610612738,2024-05-01,Celtics
3,25836,19,42300104,20,5,11,0,0,1,3,37,5,14,0.357,2,6,0.333,8,8,1.0,12,19,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210.0,1998-03-03,26,6,Duke,1628369,#3 Pick in 2017 Draft,1610612738,2024-04-29,Celtics
4,25837,19,42300103,22,6,11,0,1,0,3,39,6,16,0.375,2,7,0.286,8,12,0.667,22,19,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210.0,1998-03-03,26,6,Duke,1628369,#3 Pick in 2017 Draft,1610612738,2024-04-27,Celtics
5,25838,19,42300102,28,3,8,0,1,3,3,41,10,20,0.5,2,6,0.333,6,8,0.75,6,19,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210.0,1998-03-03,26,6,Duke,1628369,#3 Pick in 2017 Draft,1610612738,2024-04-24,Celtics
6,25839,19,42300101,23,10,10,2,0,3,4,41,7,18,0.389,1,8,0.125,8,8,1.0,3,19,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210.0,1998-03-03,26,6,Duke,1628369,#3 Pick in 2017 Draft,1610612738,2024-04-21,Celtics
7,25840,20,42300202,4,3,2,2,0,0,2,35,2,7,0.286,0,2,0.0,0,0,0.0,-21,20,Jrue Holiday,Jrue,jrue-holiday,4,G,6-4,205.0,1990-06-12,33,14,UCLA,201950,Traded from POR on 10/01/23,1610612738,2024-05-09,Celtics
8,25841,20,42300201,14,2,6,0,1,0,2,36,6,14,0.429,2,7,0.286,0,0,0.0,14,20,Jrue Holiday,Jrue,jrue-holiday,4,G,6-4,205.0,1990-06-12,33,14,UCLA,201950,Traded from POR on 10/01/23,1610612738,2024-05-07,Celtics
9,25842,20,42300105,10,5,6,1,0,2,3,34,3,5,0.6,2,4,0.5,2,2,1.0,22,20,Jrue Holiday,Jrue,jrue-holiday,4,G,6-4,205.0,1990-06-12,33,14,UCLA,201950,Traded from POR on 10/01/23,1610612738,2024-05-01,Celtics
