,Unnamed: 0,PLAYER,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,TEAMS,COMBINED EV,COMBINED PROB
0,,,,,,,,,,,,
1,3.0,Michael Porter Jr.,points,12.5,-130.0,over,0.8747536612557584,2.7382054649547864,{0.5652173913043479},Minnesota Timberwolves,,
2,65.0,Karl-Anthony Towns,blocks,0.5,195.0,over,0.4933830076344103,2.277399362607553,{0.3389830508474576},,,
3,22.0,Kentavious Caldwell-Pope,fg3m,1.5,120.0,over,0.5719076705793775,1.290984376373153,{0.45454545454545453},Minnesota Timberwolves,,
4,53.0,Aaron Gordon,steals,1.5,-225.0,under,0.8647595754305996,1.24548582255433,{0.6923076923076923},,,
5,15.0,Anthony Edwards,assists,6.5,-115.0,under,0.657552353460397,1.1466850432167544,{0.5348837209302326},Denver Nuggets,,
6,45.0,Rudy Gobert,fgm,4.5,-110.0,over,0.6266892287178578,0.9820335468522804,{0.5238095238095238},,,
7,46.0,Mike Conley,fgm,3.5,-135.0,over,0.6871573787086125,0.9808142220934792,{0.574468085106383},,,
8,34.0,Christian Braun,rebounds,3.5,130.0,over,0.5182975348876213,0.9604216512076452,{0.4347826086956522},,,
9,38.0,Jaden McDaniels,rebounds,2.5,-170.0,over,0.7437810818054559,0.90649682610215,{0.6296296296296295},,,
10,,Michael Porter Jr.,points,12.5,-130.0,over,0.8747536612557584,2.7382054649547864,{0.5652173913043479},Denver Nuggets,23.97621958027985,0.0686176383215636
11,,Nikola Jokic,blocks,0.5,165.0,under,0.5272924240430487,1.9866246185703949,{0.37735849056603776},,23.97621958027985,0.0686176383215636
12,,Kentavious Caldwell-Pope,fg3m,1.5,120.0,over,0.5719076705793775,1.290984376373153,{0.45454545454545453},,23.97621958027985,0.0686176383215636
13,,Aaron Gordon,steals,1.5,-225.0,under,0.8647595754305996,1.24548582255433,{0.6923076923076923},,23.97621958027985,0.0686176383215636
14,,Jamal Murray,assists,5.5,-115.0,over,0.6453269565417072,1.0324041589768287,{0.5348837209302326},Minnesota Timberwolves,23.97621958027985,0.0686176383215636
15,,Rudy Gobert,fgm,4.5,-110.0,over,0.6266892287178578,0.9820335468522804,{0.5238095238095238},,23.97621958027985,0.0686176383215636
16,,Jaden McDaniels,rebounds,2.5,-170.0,over,0.7437810818054559,0.90649682610215,{0.6296296296296295},,23.97621958027985,0.0686176383215636
17,,Michael Porter Jr.,points,12.5,-130.0,over,0.8747536612557584,2.7382054649547864,{0.5652173913043479},Denver Nuggets,24.240765150875905,0.047815618952754
18,,Nikola Jokic,blocks,0.5,165.0,under,0.5272924240430487,1.9866246185703949,{0.37735849056603776},,24.240765150875905,0.047815618952754
19,,Kentavious Caldwell-Pope,fg3m,1.5,120.0,over,0.5719076705793775,1.290984376373153,{0.45454545454545453},,24.240765150875905,0.047815618952754
20,,Aaron Gordon,steals,1.5,-225.0,under,0.8647595754305996,1.24548582255433,{0.6923076923076923},,24.240765150875905,0.047815618952754
21,,Jamal Murray,assists,5.5,-115.0,over,0.6453269565417072,1.0324041589768287,{0.5348837209302326},Minnesota Timberwolves,24.240765150875905,0.047815618952754
22,,Rudy Gobert,fgm,4.5,-110.0,over,0.6266892287178578,0.9820335468522804,{0.5238095238095238},,24.240765150875905,0.047815618952754
23,,Christian Braun,rebounds,3.5,130.0,over,0.5182975348876213,0.9604216512076452,{0.4347826086956522},,24.240765150875905,0.047815618952754
24,,Nikola Jokic,blocks,0.5,165.0,under,0.5272924240430487,1.9866246185703949,{0.37735849056603776},,23.251123748413427,0.0489971569744261
25,,Michael Porter Jr.,fgm,4.5,-130.0,over,0.7602490179019759,1.725279773748248,{0.5652173913043479},,23.251123748413427,0.0489971569744261
26,,Anthony Edwards,points,29.5,-125.0,under,0.7388958555256077,1.6500626997304693,{0.5555555555555556},Denver Nuggets,23.251123748413427,0.0489971569744261
27,,Kentavious Caldwell-Pope,fg3m,1.5,120.0,over,0.5719076705793775,1.290984376373153,{0.45454545454545453},,23.251123748413427,0.0489971569744261
28,,Aaron Gordon,steals,1.5,-225.0,under,0.8647595754305996,1.24548582255433,{0.6923076923076923},,23.251123748413427,0.0489971569744261
