,minutes,points,rebounds,assists,efg,fg3a,fg3m,fg3_pct,fga,fgm,fta,ft_pct,steals,blocks,date,efg_team,fg3a_team,fg3_pct_team,fga_team,fta_team,ft_pct_team,steals_team,blocks_team,to,pace,e_def_rating,e_off_rating,opp_efg,opp_fg3a,opp_fg3_pct,opp_fga,opp_fta,opp_ft_pct,opp_steals,opp_blocks,opp_to,opp_pace,opp_e_def_rating,opp_e_off_rating
Jrue Holiday,0.11505364777842077,1.0,-0.08535521336235141,0.20374882239664285,0.12205860512617604,0.10037203065039081,0.1607063773321903,0.06364585740859635,0.006426033131594175,0.039075803066579436,-0.0075420999749469565,0.035282253201154835,0.03247839668111584,-0.1213713018526048,-0.10687744312429501,-0.04947500261372602,-0.20197493490961543,0.030746242925274114,-0.04975711201049593,0.22515240968173453,0.11611118585402486,-0.2576912242822114,0.0763662289587269,0.11850926929429821,0.0860617549996673,-0.0830131195708032,-0.07277214513334283,0.07329801000417217,-0.15578690378902083,-0.0036911139119650206,0.07052376959067905,0.009981473072070961,-0.03710773697123803,-0.014884289132194096,0.07543191498758854,-0.06351224725755454,0.05678525559293222,0.1049103409054406,0.03808063149794898
Wesley Matthews,0.2325986854745544,1.0,0.20946601867946463,0.045787279165514436,0.4425155932570186,0.05987817942066161,0.2818871394664997,0.3387221847736684,0.027709602717032746,0.2616516763377864,-0.12710295333191357,-0.1530402959722392,0.1846392400750413,-0.17508539873671228,0.35602013733114757,-0.20367089416647433,-0.2051108754403881,0.10733806813930119,-0.16083213102622523,-0.31818893639007145,-0.2642866705582888,0.1477273104836482,0.16407467763236758,-0.3194856318445535,-0.36028677948172855,-0.35268778484619034,-0.27500661015955685,0.16572607576668627,0.034861718367934225,0.14023978243178806,-0.2006599274119666,-0.103325066967476,0.1869580487635257,0.022686968009454182,0.06970499448489424,-0.3214170657152213,-0.2849994951810063,0.12663913854069914,0.14857434722125448
Saddiq Bey,0.04089118078195229,1.0,0.3056418718620744,0.08278317853062936,-0.09944449517352112,-0.08397656161915172,-0.13203646477346326,-0.1327510361009191,0.17405543478909424,0.06170169824574887,-0.04202224771334516,-0.14325348588890133,0.03650149973743539,0.1914400123962892,0.0864346005553812,-0.07077195527684922,-0.05193890830698739,-0.06654446475125278,-0.002794098272689995,0.026826499255903927,0.00600089635586476,-0.003824245587557354,-0.04789487442233224,-0.10708309852682657,0.131023778783971,0.038571968416227294,0.1123673371698934,-0.08032606173461677,-0.02234640023715867,-0.07880271606898843,0.0009555288695144988,0.22931935102262016,-0.03258514982055496,0.10335626728817458,0.22143667730097172,-0.04204872373348065,-0.1745905065158339,0.12101842617634391,-0.03272770902639976
Derrick White,-0.016933999523378193,1.0,0.046884280705031915,0.03499522293760003,0.15820544500920997,0.189171795471085,0.1632921503991326,0.12227865917513263,0.1161189139859669,0.17097387578039194,0.17145541697744807,0.16209686113918909,0.10756441359082493,0.10446018493680466,-0.0014630486670937934,-0.1332927017749987,0.1431743121240057,0.17576104405222884,0.05699563893962342,-0.11067585761537495,-0.14500655045702715,0.20932526871154034,0.09431120795709771,0.03013074998594727,-0.02326221548780957,-0.05126567232567776,0.005547656374044671,0.08408236602351869,-0.10231041134682695,-0.16955397111387577,0.004639992810934395,0.0026124396336078635,0.029818793354066325,-0.03029046539995984,-0.07842125595658608,-0.056124798503117065,-0.08350970119055215,0.12722316336993283,0.02052671597332597
Jalen Johnson,-0.0689204562954712,1.0,-0.07143581479364423,-0.21338366575179474,-0.1837829987482096,-0.12272806033590854,-0.09273737748456322,-0.008244231213477596,-0.15917892687312174,-0.27581030475361396,-0.062467652717565963,0.09304492416150945,-0.10764100245536616,0.054997135755122856,0.10919480981273896,0.03653475979945593,-0.03227006406977108,-0.009901413171943204,-0.060669376209816224,-0.1347122582613622,0.048444455647233486,0.018701053685695995,-0.09295701894333587,-0.10946445803225431,-0.12121170342987837,-0.1191037895359292,-0.05388699630005735,0.3831447174739024,-0.03657004710485247,0.23176146599962996,-0.15498176892369644,-0.143953418262553,-0.16115712996105802,0.026457977589710465,0.30622453328894017,-0.1279744947965353,0.027299632724475737,-0.11324082077548525,0.2133520123407023
Oshae Brissett,0.011049789702195457,1.0,0.1043897342776193,0.03794613011827691,0.035440301960412084,0.06356925335612977,0.09788312199042486,0.09725071601644986,-0.01912641315053374,-0.05893640660496216,-0.15394208934164183,-0.17968874825142908,-0.034297204768552234,0.13597262554299752,-0.17838579234639515,0.06448552577803364,-0.02680511416849642,0.03568368205945061,0.30402903127993974,0.233138998665867,0.0774325187519863,0.003537497881023633,-0.0014891609661278628,0.005045763573856886,0.21248635846074126,0.19781263254716683,0.07784892041559177,-0.018692081234595512,0.005489607914103159,0.009836644246956967,0.01095631453770352,0.294848888623462,0.09781801865070129,-0.05314669365534516,7.237662942224447e-05,0.06829026420672166,0.18881895584988242,0.036246745500777416,0.10224857007719954
Xavier Tillman,0.10305365796054855,1.0,-0.0038859549411032635,0.14317553220398294,0.16788306314176585,0.4049261498610146,0.4157129799851969,0.1520414230062237,0.3253134007189381,0.16417276043706813,0.07439095023854289,0.15233333694419768,0.24474678771949165,0.6917095719501637,-0.2131629170005131,0.13337566090349165,-0.18440977861075952,-0.10156200431652407,0.11729318735721904,-0.08969073407840471,-0.10158639593762124,0.36115034987603983,0.24068927073593951,0.02350773066195404,0.142681075385591,0.020544298531915507,-0.04543640013685109,-0.16734091776748944,0.06657615363035047,-0.018863733878692165,0.281414433842592,-0.27747391279952427,-0.4020132708754057,-0.2072398455421915,-0.10144757960346927,0.31521844466692406,0.21284320028919615,-0.2912166035912216,-0.19598782914310917
De'Andre Hunter,0.0339477264492803,1.0,-0.19542223140333007,0.08628651590963769,-0.10380603357438643,0.008412776088938943,-0.1419343141853044,-0.0551840730261145,0.025851663336247763,-0.07365603951376379,0.05940845455786762,0.3138568942391554,0.03775280458251654,-0.04486766234403395,0.1078965315260619,0.13287345708750403,0.23612442383216917,0.051123131516111156,0.10636761602694096,-0.07049374330306481,-0.012891598441113873,-0.03900546607038854,0.03416666858041754,-0.08735871826574736,-0.02274860694283806,0.049490686596836385,0.21026704556694295,0.013274112858108296,0.021432031442187645,-0.12533140012307403,-0.2823234029080693,-0.26913935636154573,-0.21568231581364475,-0.032341679855270415,-0.08467795276546723,0.03928624472749117,-0.07282807648789333,-0.11086904781029064,-0.22205734300219807
Keldon Johnson,0.1548908859735418,1.0,-0.009657750935099732,0.08267442441392105,-0.25915628127712964,0.01571096004590812,-0.1742549545818164,-0.2525463920071418,0.027251552538880428,-0.18988616594765545,-0.012962944665769744,0.031212374777118957,-0.016136148656784487,-0.03500148314511584,-0.2600464606768373,0.022217521792897942,0.0652088605088354,0.13897521169117183,0.0752508241060734,-0.17321461287203793,-0.006042003208992692,-0.015465913818984685,-0.11795342657032266,0.05017701613195894,0.15751415343369757,0.25135435815810425,-0.1320043315913357,-0.17716853211441835,0.049806457676319305,-0.10660168785250497,0.1820999579719276,-0.024242778919843805,-0.1178140178266334,0.14413584688965353,0.04558612691377915,2.1025236378156932e-17,0.12567624436889424,0.03561319657211956,-0.14395588296135417
Caris LeVert,0.11173606496194342,1.0,0.013684051375847033,0.01848060762279853,-0.005591258940941807,0.1735585504870383,0.11085072796972896,0.0664366840695132,0.15025094386779675,0.03660574316056826,0.0853028559709008,0.07563327608948495,0.055776465639382065,-0.14940987138250522,-0.114378692718311,0.007285803188012918,0.2773944366057226,0.13513019663351078,0.18614678915945787,-0.19054975500936025,-0.09989395278713023,-0.07274132030591524,-0.22867371138682654,-0.08657448672745523,-0.11074669893940382,0.17656637399055747,0.005324639464531144,0.19222830519162337,-0.023499553978674478,0.2475843335317079,0.11483999996431826,0.026392278452750252,0.18386189868581362,-0.1329430453969466,0.1269973689531731,-0.2516263049533707,0.14074529020517584,0.1417061346453587,0.30034217642378147
