,player_name,player_position,minutes,points,rebounds,assists,efg,fg3a,fg3m,fg3_pct,fga,fgm,fta,ft_pct,date
0,Nikola Jokic,C,41.0,25,20,9,0.595,5,1,0.2,21,12,0,0.0,2024-04-29
1,Nikola Jokic,C,41.0,33,14,14,0.55,5,2,0.4,20,10,11,1.0,2024-04-27
2,Nikola Jokic,C,38.0,24,15,9,0.692,1,0,0.0,13,9,7,0.857,2024-04-25
3,Nikola Jokic,C,41.0,27,20,10,0.625,4,2,0.5,16,9,7,1.0,2024-04-22
4,Nikola Jokic,C,39.0,32,12,7,0.674,3,1,0.333,23,15,2,0.5,2024-04-20
5,Nikola Jokic,C,39.0,35,7,7,0.596,5,1,0.2,26,15,6,0.667,2024-05-12
6,Nikola Jokic,C,38.0,24,14,9,0.583,3,1,0.333,18,10,4,0.75,2024-05-10
7,Nikola Jokic,C,38.0,16,16,8,0.385,1,0,0.0,13,5,6,1.0,2024-05-06
8,Nikola Jokic,C,40.0,32,8,9,0.48,9,2,0.222,25,11,8,1.0,2024-05-04
9,Nikola Jokic,C,30.0,19,14,11,0.538,3,2,0.667,13,6,6,0.833,2024-04-06
10,Nikola Jokic,C,38.0,35,10,7,0.66,5,1,0.2,25,16,2,1.0,2024-03-02
11,Nikola Jokic,C,36.0,24,13,9,0.5,6,2,0.333,20,9,4,1.0,2024-02-08
12,Nikola Jokic,C,37.0,12,14,6,0.625,0,0,0.0,8,5,3,0.667,2024-03-13
13,Nikola Jokic,C,38.0,18,11,7,0.4,3,0,0.0,15,6,6,1.0,2024-02-29
14,Nikola Jokic,C,36.0,29,13,11,0.614,5,3,0.6,22,12,4,0.5,2023-10-24
15,Nikola Jokic,C,31.0,29,12,8,0.56,5,2,0.4,25,13,3,0.333,2024-02-12
16,Nikola Jokic,C,39.0,25,16,12,0.42,6,1,0.167,25,10,5,0.8,2024-01-29
17,Nikola Jokic,C,38.0,41,11,7,0.85,2,2,1.0,20,16,12,0.583,2024-04-10
18,Nikola Jokic,C,36.0,32,10,5,0.458,3,0,0.0,24,11,13,0.769,2024-03-29
19,Nikola Jokic,C,37.0,35,16,2,0.705,4,3,0.75,22,14,6,0.667,2024-03-19
20,Nikola Jokic,C,29.0,25,10,3,0.5,6,1,0.167,23,11,2,1.0,2023-11-01
21,Nikola Jokic,C,39.0,30,14,11,0.522,1,0,0.0,23,12,7,0.857,2024-03-21
22,Nikola Jokic,C,27.0,31,11,3,0.778,3,2,0.667,18,13,3,1.0,2024-01-25
