,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
646,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6712179198083947,1.0409612782755526,0.5555555555555556,120,0.17507963832426776,0.026034035413834266,5.725028814827222,37.41125603864734
647,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,120,0.17507963832426776,0.026034035413834266,5.725028814827222,37.41125603864734
645,Kyrie Irving,Mavericks,points,21.5,-120,over,0.6745526571181601,1.183399356916469,0.5454545454545454,120,0.17507963832426776,0.026034035413834266,5.725028814827222,37.41125603864734
644,Nickeil Alexander-Walker,Timberwolves,points,6.5,105,over,0.8039323944890402,3.2403070435126615,0.48780487804878053,120,0.17507963832426776,0.026034035413834266,5.725028814827222,37.41125603864734
643,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,120,0.17507963832426776,0.026034035413834266,5.725028814827222,37.41125603864734
642,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,120,0.17507963832426776,0.026034035413834266,5.725028814827222,37.41125603864734
1398,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,266,0.1645455759253583,0.02735141881931147,5.015979537016957,35.561174636174634
1399,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,266,0.1645455759253583,0.02735141881931147,5.015979537016957,35.561174636174634
1400,Nickeil Alexander-Walker,Timberwolves,points,6.5,105,over,0.8039323944890402,3.2403070435126615,0.48780487804878053,266,0.1645455759253583,0.02735141881931147,5.015979537016957,35.561174636174634
1402,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,266,0.1645455759253583,0.02735141881931147,5.015979537016957,35.561174636174634
1403,Nickeil Alexander-Walker,Timberwolves,fgm,2.5,125,over,0.6365411418481235,2.161087845791389,0.4444444444444444,266,0.1645455759253583,0.02735141881931147,5.015979537016957,35.561174636174634
1401,Kyrie Irving,Mavericks,fgm,7.5,-130,over,0.6666508465359062,0.8972959501253241,0.5652173913043479,266,0.1645455759253583,0.02735141881931147,5.015979537016957,35.561174636174634
2230,Mike Conley,Timberwolves,assists,6.5,-135,under,0.6639131865002601,0.7785036602800415,0.574468085106383,423,0.1387856076056329,0.025083561381009607,4.532930730909107,38.86674718196458
2226,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,423,0.1387856076056329,0.025083561381009607,4.532930730909107,38.86674718196458
2231,Nickeil Alexander-Walker,Timberwolves,fgm,2.5,125,over,0.6365411418481235,2.161087845791389,0.4444444444444444,423,0.1387856076056329,0.025083561381009607,4.532930730909107,38.86674718196458
2227,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,423,0.1387856076056329,0.025083561381009607,4.532930730909107,38.86674718196458
2228,Kyrie Irving,Mavericks,points,21.5,-120,over,0.6745526571181601,1.183399356916469,0.5454545454545454,423,0.1387856076056329,0.025083561381009607,4.532930730909107,38.86674718196458
2229,Mike Conley,Timberwolves,points,11.5,-110,over,0.6707321400195996,1.4024431547325418,0.5238095238095238,423,0.1387856076056329,0.025083561381009607,4.532930730909107,38.86674718196458
560,Daniel Gafford,Mavericks,points,8.5,100,over,0.67166621931889,1.7166621931889006,0.5,101,0.12122656857925927,0.02473177972749546,3.901651636678867,39.433806665690724
563,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,101,0.12122656857925927,0.02473177972749546,3.901651636678867,39.433806665690724
558,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,101,0.12122656857925927,0.02473177972749546,3.901651636678867,39.433806665690724
559,Anthony Edwards,Timberwolves,blocks,0.5,-150,under,0.697676326071031,0.813969383925258,0.6000000000000001,101,0.12122656857925927,0.02473177972749546,3.901651636678867,39.433806665690724
561,Mike Conley,Timberwolves,points,11.5,-110,over,0.6707321400195996,1.4024431547325418,0.5238095238095238,101,0.12122656857925927,0.02473177972749546,3.901651636678867,39.433806665690724
562,Mike Conley,Timberwolves,assists,6.5,-135,under,0.6639131865002601,0.7785036602800415,0.574468085106383,101,0.12122656857925927,0.02473177972749546,3.901651636678867,39.433806665690724
1297,Jaden McDaniels,Timberwolves,steals,1.5,-230,under,0.7504700565112195,0.38380692714570475,0.696969696969697,246,0.10777174998703457,0.022163116208868194,3.862662315686073,44.120008873114465
1296,Naz Reid,Timberwolves,fgm,3.5,-105,over,0.7514164433525283,2.335255756536586,0.5121951219512195,246,0.10777174998703457,0.022163116208868194,3.862662315686073,44.120008873114465
1298,Kyrie Irving,Mavericks,points,21.5,-120,over,0.6745526571181601,1.183399356916469,0.5454545454545454,246,0.10777174998703457,0.022163116208868194,3.862662315686073,44.120008873114465
1299,Daniel Gafford,Mavericks,points,8.5,100,over,0.67166621931889,1.7166621931889006,0.5,246,0.10777174998703457,0.022163116208868194,3.862662315686073,44.120008873114465
1300,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,246,0.10777174998703457,0.022163116208868194,3.862662315686073,44.120008873114465
1301,Nickeil Alexander-Walker,Timberwolves,fgm,2.5,125,over,0.6365411418481235,2.161087845791389,0.4444444444444444,246,0.10777174998703457,0.022163116208868194,3.862662315686073,44.120008873114465
905,Dereck Lively II,Mavericks,steals,0.5,-140,under,0.6703200460356393,0.7456003945911946,0.5833333333333333,167,0.1529257082587761,0.03151993355481728,3.851714169790946,30.72595520421607
904,Mike Conley,Timberwolves,points,11.5,-110,over,0.6707321400195996,1.4024431547325418,0.5238095238095238,167,0.1529257082587761,0.03151993355481728,3.851714169790946,30.72595520421607
903,Daniel Gafford,Mavericks,points,8.5,100,over,0.67166621931889,1.7166621931889006,0.5,167,0.1529257082587761,0.03151993355481728,3.851714169790946,30.72595520421607
902,Anthony Edwards,Timberwolves,blocks,0.5,-150,under,0.697676326071031,0.813969383925258,0.6000000000000001,167,0.1529257082587761,0.03151993355481728,3.851714169790946,30.72595520421607
901,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,167,0.1529257082587761,0.03151993355481728,3.851714169790946,30.72595520421607
900,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,167,0.1529257082587761,0.03151993355481728,3.851714169790946,30.72595520421607
1768,Kyrie Irving,Mavericks,fgm,7.5,-130,over,0.6666508465359062,0.8972959501253241,0.5652173913043479,337,0.13928672006160153,0.029531192321890002,3.716596558085982,32.8625
1767,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6712179198083947,1.0409612782755526,0.5555555555555556,337,0.13928672006160153,0.029531192321890002,3.716596558085982,32.8625
1765,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,337,0.13928672006160153,0.029531192321890002,3.716596558085982,32.8625
1764,Naz Reid,Timberwolves,points,9.5,-115,over,0.8766674430963676,3.1949347941616963,0.5348837209302326,337,0.13928672006160153,0.029531192321890002,3.716596558085982,32.8625
1769,Nickeil Alexander-Walker,Timberwolves,fgm,2.5,125,over,0.6365411418481235,2.161087845791389,0.4444444444444444,337,0.13928672006160153,0.029531192321890002,3.716596558085982,32.8625
1766,Derrick Jones Jr.,Mavericks,blocks,0.5,-160,over,0.6737202053769606,0.4739766686878051,0.6153846153846154,337,0.13928672006160153,0.029531192321890002,3.716596558085982,32.8625
2172,Nickeil Alexander-Walker,Timberwolves,points,6.5,105,over,0.8039323944890402,3.2403070435126615,0.48780487804878053,413,0.11567522002702946,0.025353063515706938,3.562573669070225,38.442965122556956
2175,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,413,0.11567522002702946,0.025353063515706938,3.562573669070225,38.442965122556956
2177,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,413,0.11567522002702946,0.025353063515706938,3.562573669070225,38.442965122556956
2173,Naz Reid,Timberwolves,fgm,3.5,-105,over,0.7514164433525283,2.335255756536586,0.5121951219512195,413,0.11567522002702946,0.025353063515706938,3.562573669070225,38.442965122556956
2174,Kyrie Irving,Mavericks,points,21.5,-120,over,0.6745526571181601,1.183399356916469,0.5454545454545454,413,0.11567522002702946,0.025353063515706938,3.562573669070225,38.442965122556956
2176,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,413,0.11567522002702946,0.025353063515706938,3.562573669070225,38.442965122556956
138,Nickeil Alexander-Walker,Timberwolves,points,6.5,105,over,0.8039323944890402,3.2403070435126615,0.48780487804878053,24,0.11061538237781336,0.02461308883580003,3.494169062475489,39.62878928651523
139,Naz Reid,Timberwolves,fgm,3.5,-105,over,0.7514164433525283,2.335255756536586,0.5121951219512195,24,0.11061538237781336,0.02461308883580003,3.494169062475489,39.62878928651523
140,Dereck Lively II,Mavericks,steals,0.5,-140,under,0.6703200460356393,0.7456003945911946,0.5833333333333333,24,0.11061538237781336,0.02461308883580003,3.494169062475489,39.62878928651523
141,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,24,0.11061538237781336,0.02461308883580003,3.494169062475489,39.62878928651523
142,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,24,0.11061538237781336,0.02461308883580003,3.494169062475489,39.62878928651523
143,Luka Doncic,Mavericks,steals,1.5,-130,under,0.6197539005607728,0.4824383511145287,0.5652173913043479,24,0.11061538237781336,0.02461308883580003,3.494169062475489,39.62878928651523
1213,Naz Reid,Timberwolves,rebounds,3.5,-165,over,0.7514164433525283,1.0341017420733332,0.6226415094339623,229,0.15243204084211082,0.0340468199895989,3.4771300488174206,28.371318681318677
1212,Nickeil Alexander-Walker,Timberwolves,points,6.5,105,over,0.8039323944890402,3.2403070435126615,0.48780487804878053,229,0.15243204084211082,0.0340468199895989,3.4771300488174206,28.371318681318677
1217,Kyrie Irving,Mavericks,fgm,7.5,-130,over,0.6666508465359062,0.8972959501253241,0.5652173913043479,229,0.15243204084211082,0.0340468199895989,3.4771300488174206,28.371318681318677
1216,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6712179198083947,1.0409612782755526,0.5555555555555556,229,0.15243204084211082,0.0340468199895989,3.4771300488174206,28.371318681318677
1215,Jaden McDaniels,Timberwolves,steals,1.5,-230,under,0.7504700565112195,0.38380692714570475,0.696969696969697,229,0.15243204084211082,0.0340468199895989,3.4771300488174206,28.371318681318677
