,PROP_TAG,THRESH,222,256,258,270,271,293,294,302,325,340,347,362,370,373,396,410,1871,1957,2013,2157,2553,2845,2947,3228,3334,4079,4307,6888,7851,8098,9575,9812,14295,14323,14367,14387,14516,14531
0,Al Horford_blocks_under,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,
1,Andrew Nembhard_blocks_under,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,
2,Ben Sheppard_blocks_under,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0
3,Ben Sheppard_points_over,3.5,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
4,Jayson Tatum_fgm_under,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Jayson Tatum_points_under,30.5,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
6,Jayson Tatum_rebounds_under,10.5,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
7,Obi Toppin_points_over,8.5,,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
8,Payton Pritchard_assists_over,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
9,Payton Pritchard_fgm_over,2.5,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Payton Pritchard_points_over,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11,Sam Hauser_fg3m_over,0.5,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Sam Hauser_fgm_over,1.5,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
13,Sam Hauser_points_over,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14,Sam Hauser_rebounds_over,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
15,T.J. McConnell_points_over,9.5,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
