,PROP_TAG,THRESH,0,1,2,3,4,5,6,7,8,9,10,11,13,14,16,20,128,352,480,544,581,3364,8920,10150,12278,12415,12635,12726,13100,13285,13920,14029
0,Al Horford_blocks_under,1.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0
1,Andrew Nembhard_blocks_under,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0
2,Ben Sheppard_blocks_under,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,
3,Ben Sheppard_points_over,3.5,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,
4,Jayson Tatum_fgm_under,10.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Jayson Tatum_points_under,30.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
6,Jayson Tatum_rebounds_under,10.5,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
7,Jrue Holiday_fgm_under,5.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,Jrue Holiday_points_under,13.5,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
9,Luke Kornet_points_over,3.5,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Obi Toppin_fg3m_over,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0
11,Obi Toppin_points_over,8.5,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
12,Payton Pritchard_assists_over,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
13,Payton Pritchard_fgm_over,2.5,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
14,Payton Pritchard_points_over,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
15,T.J. McConnell_points_over,9.5,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,
