,PARLAY_ID,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,TO_WIN,PROP_TAG
0,0,Nickeil Alexander-Walker,Timberwolves,fgm,1.5,-155,over,0.833945085,1.859870859,0.607843137,12.35443103,0.104381696,0.012707522,77.69354839,Nickeil Alexander-Walker_fgm_over
1,0,Daniel Gafford,Mavericks,assists,0.5,-150,over,0.806019958,1.716832981,0.6,12.35443103,0.104381696,0.012707522,77.69354839,Daniel Gafford_assists_over
2,0,Naz Reid,Timberwolves,points,10.5,-110,over,0.799215738,2.628877503,0.523809524,12.35443103,0.104381696,0.012707522,77.69354839,Naz Reid_points_over
3,0,Mike Conley,Timberwolves,points,10.5,-120,over,0.701008565,1.425911843,0.545454545,12.35443103,0.104381696,0.012707522,77.69354839,Mike Conley_points_over
4,0,Karl-Anthony Towns,Timberwolves,points,20.5,-105,under,0.66439058,1.48571757,0.512195122,12.35443103,0.104381696,0.012707522,77.69354839,Karl-Anthony Towns_points_under
5,0,Daniel Gafford,Mavericks,points,8.5,100,over,0.65810073,1.581007304,0.5,12.35443103,0.104381696,0.012707522,77.69354839,Daniel Gafford_points_over
6,0,Jaden McDaniels,Timberwolves,fg3m,1.5,110,under,0.633925045,1.656212973,0.476190476,12.35443103,0.104381696,0.012707522,77.69354839,Jaden McDaniels_fg3m_under
7,3,Nickeil Alexander-Walker,Timberwolves,fgm,1.5,-155,over,0.833945085,1.859870859,0.607843137,12.27104896,0.09213819,0.011364451,86.99369501,Nickeil Alexander-Walker_fgm_over
8,3,Daniel Gafford,Mavericks,assists,0.5,-150,over,0.806019958,1.716832981,0.6,12.27104896,0.09213819,0.011364451,86.99369501,Daniel Gafford_assists_over
9,3,Naz Reid,Timberwolves,points,10.5,-110,over,0.799215738,2.628877503,0.523809524,12.27104896,0.09213819,0.011364451,86.99369501,Naz Reid_points_over
10,3,Karl-Anthony Towns,Timberwolves,points,20.5,-105,under,0.66439058,1.48571757,0.512195122,12.27104896,0.09213819,0.011364451,86.99369501,Karl-Anthony Towns_points_under
11,3,Daniel Gafford,Mavericks,points,8.5,100,over,0.65810073,1.581007304,0.5,12.27104896,0.09213819,0.011364451,86.99369501,Daniel Gafford_points_over
12,3,Jaden McDaniels,Timberwolves,fg3m,1.5,110,under,0.633925045,1.656212973,0.476190476,12.27104896,0.09213819,0.011364451,86.99369501,Jaden McDaniels_fg3m_under
13,3,Derrick Jones Jr.,Mavericks,steals,0.5,105,under,0.618783392,1.342529766,0.487804878,12.27104896,0.09213819,0.011364451,86.99369501,Derrick Jones Jr._steals_under
14,6,Nickeil Alexander-Walker,Timberwolves,fgm,1.5,-155,over,0.833945085,1.859870859,0.607843137,12.21124323,0.097216399,0.012102402,81.62822581,Nickeil Alexander-Walker_fgm_over
