,PROP_TAG,THRESH,3,5,8,9,10,12,352519,371688,398905,660547,662912
0,Al Horford_rebounds_under,7.5,,,,,,,,,,1.0,1.0
1,Derrick White_points_over,15.5,,,,,,,,1.0,1.0,1.0,1.0
2,Jaylen Brown_points_under,26.5,,,,,,,,1.0,1.0,1.0,1.0
3,Jaylen Brown_rebounds_under,6.5,,,,,1.0,,1.0,1.0,1.0,1.0,1.0
4,Jayson Tatum_fgm_under,9.5,,,1.0,,,,1.0,,1.0,,
5,Jayson Tatum_points_under,29.5,1.0,,,,,,1.0,1.0,,,
6,Jayson Tatum_rebounds_under,10.5,,,,,,1.0,1.0,1.0,1.0,,
7,Jayson Tatum_steals_under,1.5,,,,,,,1.0,,,,
8,Jrue Holiday_assists_under,5.5,,1.0,,,,,,,,,
9,Jrue Holiday_points_under,14.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
10,Myles Turner_fg3m_over,1.5,,,,,,,,,,,1.0
11,Myles Turner_rebounds_under,7.5,,,,,,,,,,1.0,
12,Payton Pritchard_assists_over,2.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
13,Payton Pritchard_points_over,7.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
14,Sam Hauser_fg3m_over,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
15,Sam Hauser_points_over,4.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
16,Tyrese Haliburton_points_over,16.5,,,,1.0,,,1.0,1.0,1.0,1.0,1.0
