,PARLAY_ID,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,TO_WIN,PROP_TAG
16,8,Sam Hauser,Celtics,points,4.5,-125,over,0.928249499,3.354245492,0.555555556,11.98223134,0.473613985,0.07390983,12.53,Sam Hauser_points_over
17,8,Payton Pritchard,Celtics,points,7.5,-120,over,0.917255404,3.408174538,0.545454545,11.98223134,0.473613985,0.07390983,12.53,Payton Pritchard_points_over
18,8,Payton Pritchard,Celtics,assists,2.5,110,over,0.814857714,3.556006,0.476190476,11.98223134,0.473613985,0.07390983,12.53,Payton Pritchard_assists_over
19,8,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,11.98223134,0.473613985,0.07390983,12.53,Tyrese Haliburton_points_over
28,1604,Jrue Holiday,Celtics,points,14.5,-110,under,0.816900687,2.797688373,0.523809524,7.894419816,0.325995023,0.086946703,10.5012987,Jrue Holiday_points_under
29,1604,Jayson Tatum,Celtics,rebounds,10.5,-140,under,0.76994979,1.599569626,0.583333333,7.894419816,0.325995023,0.086946703,10.5012987,Jayson Tatum_rebounds_under
30,1604,Jayson Tatum,Celtics,points,29.5,-125,under,0.759261834,1.833356507,0.555555556,7.894419816,0.325995023,0.086946703,10.5012987,Jayson Tatum_points_under
31,1604,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,7.894419816,0.325995023,0.086946703,10.5012987,Tyrese Haliburton_points_over
32,1662,Jrue Holiday,Celtics,points,14.5,-110,under,0.816900687,2.797688373,0.523809524,7.853999036,0.284486384,0.076343446,12.0987013,Jrue Holiday_points_under
33,1662,Jayson Tatum,Celtics,points,29.5,-125,under,0.759261834,1.833356507,0.555555556,7.853999036,0.284486384,0.076343446,12.0987013,Jayson Tatum_points_under
34,1662,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,7.853999036,0.284486384,0.076343446,12.0987013,Tyrese Haliburton_points_over
35,1662,Jrue Holiday,Celtics,rebounds,5.5,-105,under,0.671912809,1.559148846,0.512195122,7.853999036,0.284486384,0.076343446,12.0987013,Jrue Holiday_rebounds_under
40,4588,Jayson Tatum,Celtics,rebounds,10.5,-140,under,0.76994979,1.599569626,0.583333333,6.280607642,0.269209918,0.090539542,10.04489796,Jayson Tatum_rebounds_under
41,4588,Jayson Tatum,Celtics,points,29.5,-125,under,0.759261834,1.833356507,0.555555556,6.280607642,0.269209918,0.090539542,10.04489796,Jayson Tatum_points_under
42,4588,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,6.280607642,0.269209918,0.090539542,10.04489796,Tyrese Haliburton_points_over
43,4588,Jaylen Brown,Celtics,points,26.5,-120,under,0.674604676,1.183876198,0.545454545,6.280607642,0.269209918,0.090539542,10.04489796,Jaylen Brown_points_under
44,5314,Jayson Tatum,Celtics,rebounds,10.5,-140,under,0.76994979,1.599569626,0.583333333,5.97765155,0.269639113,0.095355475,9.48707483,Jayson Tatum_rebounds_under
45,5314,Jayson Tatum,Celtics,points,29.5,-125,under,0.759261834,1.833356507,0.555555556,5.97765155,0.269639113,0.095355475,9.48707483,Jayson Tatum_points_under
46,5314,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,5.97765155,0.269639113,0.095355475,9.48707483,Tyrese Haliburton_points_over
47,5314,Al Horford,Celtics,rebounds,7.5,-135,under,0.675680182,0.880920106,0.574468085,5.97765155,0.269639113,0.095355475,9.48707483,Al Horford_rebounds_under
48,8941,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,4.50755035,0.206596522,0.092198916,9.846114486,Tyrese Haliburton_points_over
49,8941,Al Horford,Celtics,rebounds,7.5,-135,under,0.675680182,0.880920106,0.574468085,4.50755035,0.206596522,0.092198916,9.846114486,Al Horford_rebounds_under
50,8941,Jaylen Brown,Celtics,points,26.5,-120,under,0.674604676,1.183876198,0.545454545,4.50755035,0.206596522,0.092198916,9.846114486,Jaylen Brown_points_under
51,8941,Myles Turner,Pacers,rebounds,7.5,-135,under,0.663964323,0.778948736,0.574468085,4.50755035,0.206596522,0.092198916,9.846114486,Myles Turner_rebounds_under
52,8978,Myles Turner,Pacers,fg3m,1.5,-150,over,0.691558959,0.762991323,0.6,4.491592938,0.21518276,0.096296646,9.384577699,Myles Turner_fg3m_over
53,8978,Tyrese Haliburton,Pacers,points,16.5,-105,over,0.682633715,1.663805311,0.512195122,4.491592938,0.21518276,0.096296646,9.384577699,Tyrese Haliburton_points_over
54,8978,Al Horford,Celtics,rebounds,7.5,-135,under,0.675680182,0.880920106,0.574468085,4.491592938,0.21518276,0.096296646,9.384577699,Al Horford_rebounds_under
55,8978,Jaylen Brown,Celtics,points,26.5,-120,under,0.674604676,1.183876198,0.545454545,4.491592938,0.21518276,0.096296646,9.384577699,Jaylen Brown_points_under
