,PROP_TAG,THRESH,0.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,12.0,1604.0,1662.0,1764.0,4588.0,5314.0,8941.0,8978.0,10821.0,10860.0,10888.0,11065.0,11543.0,371688.0,398905.0,660547.0,662912.0
0,Al Horford_rebounds_under,7.5,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0
1,Andrew Nembhard_assists_under,5.5,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,
2,Derrick White_points_over,15.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
3,Jaylen Brown_points_under,26.5,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
4,Jaylen Brown_rebounds_under,6.5,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
5,Jayson Tatum_fgm_under,9.5,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
6,Jayson Tatum_points_under,29.5,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,
7,Jayson Tatum_rebounds_under,10.5,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,
8,Jrue Holiday_assists_under,5.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,Jrue Holiday_fgm_under,5.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,
10,Jrue Holiday_points_under,14.5,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11,Jrue Holiday_rebounds_under,5.5,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,
12,Myles Turner_fg3m_over,1.5,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0
13,Myles Turner_rebounds_under,7.5,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,
14,Payton Pritchard_assists_over,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
15,Payton Pritchard_points_over,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
16,Sam Hauser_fg3m_over,1.5,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
17,Sam Hauser_fgm_over,1.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,Sam Hauser_points_over,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
19,Tyrese Haliburton_points_over,16.5,,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0
