,PROP_TAG,THRESH,0,1,2,3,4,5,347,466,620,2928,3166,4655,5389,5596,8792,9236,10111
0,Anthony Edwards_blocks_under,0.5,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,
1,Daniel Gafford_steals_under,0.5,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,
2,Dereck Lively II_steals_under,0.5,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,
3,Derrick Jones Jr._steals_under,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
4,Jaden Hardy_fg3m_under,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
5,Josh Green_blocks_under,0.5,,,,,,,,,,,,,,,,1.0,1.0
6,Karl-Anthony Towns_fg3m_under,1.5,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,
7,Kyle Anderson_blocks_under,0.5,,,,,,,,,,,,,1.0,,1.0,1.0,1.0
8,Kyle Anderson_fgm_under,1.5,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0
9,Kyrie Irving_blocks_under,0.5,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,
10,Luka Doncic_blocks_under,0.5,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,
11,Luka Doncic_steals_under,1.5,,,,,,,,,,,,,,1.0,,,
12,Mike Conley_blocks_under,0.5,,,,,,,,,,,,,,,1.0,,1.0
13,Nickeil Alexander-Walker_points_over,4.5,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,
