,PROP_TAG,THRESH,3,4,7,8,10,13,14,15,3327,3455,3700,4313,5412,5571
0,Daniel Gafford_assists_over,0.5,,,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0
1,Dereck Lively II_steals_under,0.5,,,,,,,1.0,,,,1.0,,1.0,
2,Jaden Hardy_fgm_under,1.5,,,,,,,,,,,,,,1.0
3,Jaden McDaniels_points_over,9.5,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,
4,Karl-Anthony Towns_points_under,19.5,,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0
5,Luka Doncic_rebounds_over,8.5,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
6,Naz Reid_points_over,11.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
7,Nickeil Alexander-Walker_fgm_over,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
8,Rudy Gobert_points_over,12.5,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,
