,PROP_TAG,THRESH,0,2,3,4,5,6,7,8,9,10,11,2238,2437,2743,5655,6613,6925,11483,11988,13053,13316,20794,21498
0,Daniel Gafford_assists_over,0.5,,,,,,,1,,,,,,,,,1,,1,,,,1,1
1,Dereck Lively II_steals_under,0.5,,,,,,,,,,,1,,,,,,,,,1,,1,
2,Derrick Jones Jr._steals_under,0.5,1,,,1,,1,,1,,1,,1,1,1,1,1,1,,,,,,
3,Jaden Hardy_fgm_under,1.5,,,,,,,,,,,,,,,,,,,,,,,1
4,Jaden McDaniels_points_over,9.5,,1,,,,1,,,,,,1,1,,1,1,1,1,1,1,1,,
5,Karl-Anthony Towns_points_under,19.5,,,,,,,,,1,,,,,,,,1,,1,,,1,1
6,Luka Doncic_rebounds_over,8.5,,,,,1,,,,,1,,,1,1,1,,,1,1,1,1,1,1
7,Naz Reid_fgm_over,4.5,,,,1,,,,,,,,,,,,,,,,,,,
8,Naz Reid_points_over,11.5,1,1,1,,1,,1,,1,,1,1,1,1,,,,,,,,,
9,Nickeil Alexander-Walker_fg3m_over,1.5,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
10,Nickeil Alexander-Walker_fgm_over,1.5,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
11,Rudy Gobert_assists_over,1.5,,,,,,,,,,,,,,,,,,,,,1,,
12,Rudy Gobert_points_over,12.5,,,1,,,,,1,,,,1,,1,1,1,1,1,1,1,1,,
