,PROP_TAG,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,PROB,HOUSE_PROB,EV,TO_WIN
0,Payton Pritchard_points_over,6.5,0,9.515911846178009,0.6721602035749913,0.1541501976284585,0.9377494189271348,0.5652173913043479,3.295475628970808,5.487179487179487
2,Payton Pritchard_assists_over,2.5,0,9.515911846178009,0.6721602035749913,0.1541501976284585,0.7844159239628612,0.5,2.8441592396286115,5.487179487179487
5,Jayson Tatum_points_under,29.5,4,9.132194015308777,0.6548718944140449,0.1579099585462257,0.7642403394338876,0.5121951219512195,2.4604414087593787,5.332722832722832
6,Payton Pritchard_fgm_over,2.5,6,8.924538959289004,0.590741435542865,0.1458773784355179,0.8241598282227046,0.5348837209302326,2.704102742081804,5.855072463768116
7,T.J. McConnell_points_under,15.5,8,8.862416059139782,0.6721774177307828,0.1681638519583183,0.7844360130098601,0.5454545454545454,2.1906634525903854,4.946581196581197
8,T.J. McConnell_rebounds_under,4.5,10,8.819883128760788,0.753868329321552,0.1897233201581027,0.8797699104260174,0.6153846153846154,2.148130522211391,4.270833333333333
9,T.J. McConnell_assists_under,7.5,310,6.974686169339036,0.4858929040215602,0.1552647233789411,0.8020184254186166,0.5918367346938775,1.7756729043986574,5.440613026819923
12,Al Horford_rebounds_under,7.5,405,6.769781762965663,0.4644288252780723,0.1530339083878643,0.7665896581029499,0.5833333333333333,1.570768498025285,5.534499514091351
15,Obi Toppin_points_over,9.5,3796,4.4985084862830655,0.3618900897791176,0.1649048625792812,0.6849575818259804,0.5454545454545454,1.2787778334048214,5.064102564102564
17,Myles Turner_rebounds_under,7.5,5308,3.974374568903325,0.354697113898559,0.175531914893617,0.6344246638552915,0.5238095238095238,1.0558717913459648,4.696969696969697
