,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
3,Isaiah Jackson,Pacers,steals,0.5,-400,under,0.8464817248906141,0.2905107805663384,0.8
4,Luke Kornet,Celtics,steals,0.5,-375,under,0.8464817248906141,0.3610509243072225,0.7894736842105263
8,Aaron Nesmith,Pacers,assists,2.5,-195,under,0.732851572162152,0.5433644560983293,0.6610169491525424
12,Ben Sheppard,Pacers,fgm,2.5,-195,under,0.7091167394733906,0.3638317472987236,0.6610169491525424
13,Ben Sheppard,Pacers,fg3m,1.5,-210,under,0.6917131646008436,0.10550192919670343,0.6774193548387096
14,Aaron Nesmith,Pacers,blocks,0.5,-210,under,0.6872892787909721,0.07284943869527072,0.6774193548387096
19,Derrick White,Celtics,fg3m,2.5,-165,over,0.6445742804596186,0.1761267976302705,0.6226415094339623
20,Jaylen Brown,Celtics,rebounds,6.5,-150,under,0.6383911465496203,0.31992622124683523,0.6000000000000001
23,Aaron Nesmith,Pacers,fg3m,1.5,-140,under,0.6339250450332826,0.43364324314242264,0.5833333333333333
24,Andrew Nembhard,Pacers,steals,0.5,100,under,0.6323366621862497,1.3233666218624975,0.5
25,Isaiah Jackson,Pacers,assists,0.5,-145,under,0.6323366621862497,0.3421545598493516,0.5918367346938775
