,PROP_TAG,THRESH,0,1,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,164,174,272,310,374,390,400,405,437,457,619,648,739,777,902,1047,3033,3611,3644,3705,3748,3789,3796,3824,3880,3974,4512,4619,4723,5008,5132,5249,5308,5434,6129,6141,7974
0,Al Horford_blocks_under,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,
1,Al Horford_rebounds_under,7.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2,Andrew Nembhard_assists_under,7.5,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Andrew Nembhard_points_under,16.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jayson Tatum_points_under,29.5,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,Jrue Holiday_points_under,13.5,,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Luke Kornet_assists_over,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,
7,Luke Kornet_points_over,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,
8,Luke Kornet_rebounds_over,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
9,Myles Turner_rebounds_under,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0
10,Myles Turner_steals_under,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
11,Obi Toppin_points_over,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0
12,Pascal Siakam_assists_under,4.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,
13,Pascal Siakam_points_under,23.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
14,Payton Pritchard_assists_over,2.5,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Payton Pritchard_fgm_over,2.5,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Payton Pritchard_points_over,6.5,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,T.J. McConnell_assists_under,7.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,T.J. McConnell_points_under,15.5,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
19,T.J. McConnell_rebounds_under,4.5,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
