,PROP_TAG,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,PROB,HOUSE_PROB,EV,TO_WIN
0,Payton Pritchard_points_over,6.5,0,9.515911846178009,0.6721602035749913,0.1541501976284585,0.9377494189271348,0.5652173913043479,3.295475628970808,5.487179487179487
1,Andrew Nembhard_points_under,16.5,0,9.515911846178009,0.6721602035749913,0.1541501976284585,0.9137756702813004,0.5454545454545454,3.3762769775785886,5.487179487179487
2,Payton Pritchard_assists_over,2.5,0,9.515911846178009,0.6721602035749913,0.1541501976284585,0.7844159239628612,0.5,2.8441592396286115,5.487179487179487
3,Jrue Holiday_points_under,13.5,1,9.410324462730395,0.6792859743615627,0.1579099585462257,0.7927317511209805,0.5121951219512195,2.738571856181,5.332722832722832
4,Andrew Nembhard_assists_under,7.5,3,9.19464987524972,0.7630332075104592,0.1824634992336855,0.8904653909890178,0.5918367346938775,2.522897268700323,4.48054818744474
5,Jayson Tatum_points_under,29.5,4,9.132194015308777,0.6548718944140449,0.1579099585462257,0.7642403394338876,0.5121951219512195,2.4604414087593787,5.332722832722832
6,Payton Pritchard_fgm_over,2.5,6,8.924538959289004,0.590741435542865,0.1458773784355179,0.8241598282227046,0.5348837209302326,2.704102742081804,5.855072463768116
7,T.J. McConnell_points_under,15.5,8,8.862416059139782,0.6721774177307828,0.1681638519583183,0.7844360130098601,0.5454545454545454,2.1906634525903854,4.946581196581197
8,T.J. McConnell_rebounds_under,4.5,10,8.819883128760788,0.753868329321552,0.1897233201581027,0.8797699104260174,0.6153846153846154,2.148130522211391,4.270833333333333
9,T.J. McConnell_assists_under,7.5,310,6.974686169339036,0.4858929040215602,0.1552647233789411,0.8020184254186166,0.5918367346938775,1.7756729043986574,5.440613026819923
10,Pascal Siakam_points_under,23.5,374,6.83559857625975,0.430120625270449,0.1403234508805667,0.7099602891178863,0.5348837209302326,1.6365853113193718,6.126392586019914
11,Pascal Siakam_assists_under,4.5,400,6.78215860649925,0.4508532101873402,0.1482813025373096,0.7441816473066551,0.5652173913043479,1.5831453415588723,5.7439386010814575
12,Al Horford_rebounds_under,7.5,405,6.769781762965663,0.4644288252780723,0.1530339083878643,0.7665896581029499,0.5833333333333333,1.570768498025285,5.534499514091351
13,Luke Kornet_points_over,3.5,3611,4.567464932410319,0.3853254138380588,0.17367639782286,0.7293141512653873,0.574468085106383,1.3477342795320748,4.7578347578347575
14,Luke Kornet_assists_over,0.5,3705,4.531244471852057,0.3415953767070637,0.154849688031764,0.6465453180412198,0.5121951219512195,1.3115138189738125,5.457875457875457
15,Obi Toppin_points_over,9.5,3796,4.4985084862830655,0.3618900897791176,0.1649048625792812,0.6849575818259804,0.5454545454545454,1.2787778334048214,5.064102564102564
16,Al Horford_blocks_under,1.5,5008,4.062941811005869,0.4277873143626671,0.2086511441188278,0.7651565588822672,0.6226415094339623,1.144439033448509,3.792688792688793
17,Myles Turner_rebounds_under,7.5,5308,3.974374568903325,0.354697113898559,0.175531914893617,0.6344246638552915,0.5238095238095238,1.0558717913459648,4.696969696969697
18,Luke Kornet_rebounds_over,3.5,6141,3.711778361146999,0.30530924642212,0.1573840528113347,0.6474799815848631,0.5348837209302326,1.0525302626411113,5.353883904608542
19,Myles Turner_steals_under,0.5,7974,3.1309774144990588,0.2798685923684385,0.1587301587301587,0.6440364210831414,0.5555555555555556,0.7963277897482728,5.300000000000001
