,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,PARLAY_ID,TO_WIN,PROP_TAG
0,Daniel Gafford,Mavericks,points,11.5,100,under,0.8414671479015429,3.4146714790154284,0.5,8.523247050401235,0.5553407084289094,0.1447507953340403,0,5.908424908424908,Daniel Gafford_points_under
1,Jaden Hardy,Mavericks,points,5.5,-130,under,0.822882827017686,2.279348085156453,0.5652173913043479,8.523247050401235,0.5553407084289094,0.1447507953340403,0,5.908424908424908,Jaden Hardy_points_under
2,Daniel Gafford,Mavericks,rebounds,7.5,-105,under,0.8020184254186166,2.8292274862293523,0.5121951219512195,8.523247050401235,0.5553407084289094,0.1447507953340403,0,5.908424908424908,Daniel Gafford_rebounds_under
3,Daniel Gafford,Mavericks,points,11.5,100,under,0.8414671479015429,3.4146714790154284,0.5,7.63499485592437,0.4012253645903526,0.1191151446398185,2,7.395238095238094,Daniel Gafford_points_under
4,Daniel Gafford,Mavericks,rebounds,7.5,-105,under,0.8020184254186166,2.8292274862293523,0.5121951219512195,7.63499485592437,0.4012253645903526,0.1191151446398185,2,7.395238095238094,Daniel Gafford_rebounds_under
5,Derrick Jones Jr.,Mavericks,steals,0.5,115,under,0.5945205479701944,1.3910958906795896,0.46511627906976744,7.63499485592437,0.4012253645903526,0.1191151446398185,2,7.395238095238094,Derrick Jones Jr._steals_under
6,Daniel Gafford,Mavericks,points,11.5,100,under,0.8414671479015429,3.4146714790154284,0.5,7.408644724666868,0.396230025526378,0.12195121951219512,4,7.199999999999999,Daniel Gafford_points_under
7,Daniel Gafford,Mavericks,rebounds,7.5,-105,under,0.8020184254186166,2.8292274862293523,0.5121951219512195,7.408644724666868,0.396230025526378,0.12195121951219512,4,7.199999999999999,Daniel Gafford_rebounds_under
8,Rudy Gobert,Timberwolves,fgm,4.5,110,over,0.5871186437544844,1.1647457594220865,0.47619047619047616,7.408644724666868,0.396230025526378,0.12195121951219512,4,7.199999999999999,Rudy Gobert_fgm_over
9,Daniel Gafford,Mavericks,points,11.5,100,under,0.8414671479015429,3.4146714790154284,0.5,7.236762472547087,0.5479532332745871,0.17348544453186465,5,4.764172335600907,Daniel Gafford_points_under
10,Jaden Hardy,Mavericks,steals,0.5,-210,under,0.811936346150635,0.9928635073023067,0.6774193548387096,7.236762472547087,0.5479532332745871,0.17348544453186465,5,4.764172335600907,Jaden Hardy_steals_under
11,Daniel Gafford,Mavericks,rebounds,7.5,-105,under,0.8020184254186166,2.8292274862293523,0.5121951219512195,7.236762472547087,0.5479532332745871,0.17348544453186465,5,4.764172335600907,Daniel Gafford_rebounds_under
12,Daniel Gafford,Mavericks,points,11.5,100,under,0.8414671479015429,3.4146714790154284,0.5,7.147566158506911,0.4346422486838992,0.13968957871396895,6,6.158730158730159,Daniel Gafford_points_under
13,Daniel Gafford,Mavericks,rebounds,7.5,-105,under,0.8020184254186166,2.8292274862293523,0.5121951219512195,7.147566158506911,0.4346422486838992,0.13968957871396895,6,6.158730158730159,Daniel Gafford_rebounds_under
14,Daniel Gafford,Mavericks,steals,0.5,-120,under,0.6440364210831414,0.9036671932621303,0.5454545454545454,7.147566158506911,0.4346422486838992,0.13968957871396895,6,6.158730158730159,Daniel Gafford_steals_under
15,Daniel Gafford,Mavericks,points,11.5,100,under,0.8414671479015429,3.4146714790154284,0.5,7.116348650794755,0.45534095841100175,0.1471198754540737,7,5.797178130511464,Daniel Gafford_points_under
