,PROP_TAG,THRESH,0,1,2,3,5,6,7,8,9,10,12,247,261,269,952,976,1004,1022,1732,1785,2556,2898,2968,3379
0,Anthony Edwards_assists_under,7.5,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
1,Anthony Edwards_fgm_under,9.5,,,,,,,,,,,1.0,,,,,,,,,,,,,
2,Anthony Edwards_points_under,27.5,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,
3,Anthony Edwards_rebounds_under,7.5,,,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,
4,Daniel Gafford_points_under,9.5,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0
5,Derrick Jones Jr._blocks_over,0.5,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Derrick Jones Jr._steals_under,0.5,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
7,Jaden McDaniels_fg3m_under,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
8,Karl-Anthony Towns_fgm_under,6.5,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0
9,Karl-Anthony Towns_points_under,20.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10,Naz Reid_points_over,11.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
11,Rudy Gobert_points_over,12.5,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
