,PROP_TAG,THRESH,1,2,5,8,9,10,11,12,13,18,22,41,175,809,988,1039,1174,1265,7108,7463,7804,8127,8364,8453,8711,8823,9585,9962,10467
0,Anthony Edwards_assists_under,7.5,1.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1,Anthony Edwards_rebounds_under,7.5,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0
2,Daniel Gafford_rebounds_under,6.5,,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
3,Daniel Gafford_steals_under,0.5,,,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0
4,Derrick Jones Jr._fgm_over,2.5,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0
5,Derrick Jones Jr._points_over,8.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
6,Jaden McDaniels_fg3m_under,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
7,Jaden McDaniels_steals_under,0.5,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
8,Karl-Anthony Towns_fgm_under,6.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
9,Karl-Anthony Towns_points_under,20.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10,Kyrie Irving_assists_over,4.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
11,Kyrie Irving_rebounds_over,3.5,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0
12,Naz Reid_blocks_under,0.5,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,
