,PROP_TAG,THRESH,0,1,2,3,4,5,6,7,8,9,17,38,66,245,331,703,1945,4369,5216,5358,6490,6786,7365,9318,9539,11069,14748,24783,29316,29463,29482,29853,46140,55958,61591,61606,61831,62105,62117,73021,75706,76123,86306,95852,96464,96953,97032
0,Anthony Black_assists_over,3.5,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,Brandon Ingram_points_under,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,
2,Cade Cunningham_fg3m_over,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0
3,Cade Cunningham_rebounds_over,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,
4,Daniel Gafford_assists_over,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
5,Daniel Gafford_rebounds_under,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
6,Dorian Finney-Smith_points_over,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
7,Franz Wagner_points_under,20.5,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,Jaden Ivey_fg3m_over,1.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
9,Jaden Ivey_points_over,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,
10,Jalen Johnson_fg3m_under,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
11,Jalen Johnson_points_under,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,
12,Jalen Suggs_points_over,16.5,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
13,Jordan Hawkins_assists_under,1.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14,Kentavious Caldwell-Pope_points_under,9.5,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kentavious Caldwell-Pope_rebounds_under,2.5,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Klay Thompson_assists_under,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
17,Kyrie Irving_fg3m_over,2.5,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
18,Kyrie Irving_points_over,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
19,Tim Hardaway Jr._rebounds_under,2.5,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tobias Harris_points_under,13.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,Tobias Harris_rebounds_over,7.5,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
22,Trae Young_rebounds_over,3.5,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Wendell Carter Jr._points_under,11.5,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Zaccharie Risacher_points_under,11.5,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Zion Williamson_points_under,29.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
