,PROP_TAG,THRESH,0,1,2,3,4,5,6,7,8
0,Anthony Black_assists_over,3.5,1.0,1.0,,1.0,,1.0,,1.0,
1,Jaden Ivey_fg3m_over,1.5,,,,,,1.0,1.0,,
2,Jalen Suggs_points_over,16.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Jordan Hawkins_assists_under,1.5,,,,1.0,1.0,,,,
4,Jose Alvarado_points_over,10.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Kyrie Irving_fg3m_over,2.5,,1.0,1.0,,,,,,
6,Tim Hardaway Jr._rebounds_under,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Tobias Harris_points_under,13.5,,,,,,,,1.0,1.0
8,Tobias Harris_rebounds_over,7.5,1.0,,1.0,,1.0,,1.0,,1.0
9,Trae Young_rebounds_over,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Wendell Carter Jr._points_over,11.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
