,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,PROP_TAG
21,Al Horford,Celtics,fg3m,1.5,-165,over,0.7326151184283981,0.8831214055613783,0.6226415094339623,1,0.1746923189735421,0.06437703835610957,0,Al Horfordfg3mover
26,Derrick White,Celtics,points,15.5,-130,over,0.713347112506028,1.3103783029379399,0.5652173913043479,1,0.1746923189735421,0.06437703835610957,0,Derrick Whitepointsover
27,Guerschon Yabusele,76ers,assists,2.5,-180,under,0.712710579278121,0.5433045054964964,0.6428571428571428,1,0.1746923189735421,0.06437703835610957,0,Guerschon Yabuseleassistsunder
32,Pascal Siakam,Pacers,rebounds,7.5,-125,under,0.6969558286607132,1.2726024579464184,0.5555555555555556,1,0.1746923189735421,0.06437703835610957,0,Pascal Siakamreboundsunder
37,Terance Mann,Clippers,rebounds,2.5,-105,over,0.6729434430265723,1.569209800973682,0.5121951219512195,1,0.1746923189735421,0.06437703835610957,0,Terance Mannreboundsover
8,Kyle Kuzma,Wizards,fg3m,2.5,-150,under,0.8004341648720293,1.6702847072669105,0.6000000000000001,2,0.2143566883893011,0.05222437137330754,0,Kyle Kuzmafg3munder
9,Jared McCain,76ers,rebounds,3.5,110,under,0.7925363299535327,3.3216314645120937,0.47619047619047616,2,0.2143566883893011,0.05222437137330754,0,Jared McCainreboundsunder
23,Tyrese Haliburton,Pacers,assists,10.5,-140,under,0.7294233670956503,1.2522002893912882,0.5833333333333333,2,0.2143566883893011,0.05222437137330754,0,Tyrese Haliburtonassistsunder
33,Anthony Edwards,Timberwolves,assists,4.5,-120,under,0.6936458648368751,1.3584204276713558,0.5454545454545454,2,0.2143566883893011,0.05222437137330754,0,Anthony Edwardsassistsunder
38,Jarace Walker,Pacers,rebounds,4.5,-135,under,0.6678436005308537,0.8127128194352078,0.574468085106383,2,0.2143566883893011,0.05222437137330754,0,Jarace Walkerreboundsunder
6,Terance Mann,Clippers,assists,0.5,-210,over,0.8233055542434032,1.076779090844167,0.6774193548387096,3,0.22173486628443914,0.09030412640539988,0,Terance Mannassistsover
10,Tyrese Haliburton,Pacers,points,18.5,-115,under,0.779881098973711,2.290192881710777,0.5348837209302326,3,0.22173486628443914,0.09030412640539988,0,Tyrese Haliburtonpointsunder
21,Al Horford,Celtics,fg3m,1.5,-165,over,0.7326151184283981,0.8831214055613783,0.6226415094339623,3,0.22173486628443914,0.09030412640539988,0,Al Horfordfg3mover
27,Guerschon Yabusele,76ers,assists,2.5,-180,under,0.712710579278121,0.5433045054964964,0.6428571428571428,3,0.22173486628443914,0.09030412640539988,0,Guerschon Yabuseleassistsunder
39,Al Horford,Celtics,assists,1.5,-165,over,0.6613867132023423,0.3111357272309303,0.6226415094339623,3,0.22173486628443914,0.09030412640539988,0,Al Horfordassistsover
