,PROP_TAG,THRESH,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROB,HOUSE_PROB,EV
0,Duncan Robinson_points_under,11.5,1,0.23646508506243372,0.06397393391991332,0.8678713452885788,0.5238095238095238,3.2842264777546157
32,Anthony Black_rebounds_over,1.5,1,0.23646508506243372,0.06397393391991332,0.7326151184283981,0.6551724137931035,0.591010114321985
35,Jeremiah Robinson-Earl_points_over,6.5,1,0.23646508506243372,0.06397393391991332,0.7256232870006536,0.5238095238095238,1.9264041031880574
37,Javonte Green_rebounds_under,4.5,1,0.23646508506243372,0.06397393391991332,0.7191365816527941,0.6296296296296295,0.7107905013604245
39,Duncan Robinson_rebounds_under,2.5,1,0.23646508506243372,0.06397393391991332,0.712710579278121,0.5652173913043479,1.3047474320756853
0,Duncan Robinson_points_under,11.5,2,0.34196601418608663,0.042135969532452806,0.8678713452885788,0.5238095238095238,3.2842264777546157
1,Davion Mitchell_assists_over,3.5,2,0.34196601418608663,0.042135969532452806,0.865770751807885,0.5348837209302326,3.093074419073707
6,Miles McBride_points_over,8.5,2,0.34196601418608663,0.042135969532452806,0.8405552852284145,0.5652173913043479,2.4356813693282815
29,Jrue Holiday_points_over,10.5,2,0.34196601418608663,0.042135969532452806,0.7366927192098309,0.5454545454545454,1.7530165927567842
31,Jaime Jaquez Jr._rebounds_over,3.5,2,0.34196601418608663,0.042135969532452806,0.7349740847026385,0.48780487804878053,2.5334843682020436
9,Davion Mitchell_points_over,5.5,3,0.26750100823655154,0.04924897570662041,0.8147947990945447,0.5348837209302326,2.6165600784924825
16,Scottie Barnes_points_under,21.5,3,0.26750100823655154,0.04924897570662041,0.7852183767256204,0.5121951219512195,2.6652270108929614
18,Yves Missi_points_under,8.5,3,0.26750100823655154,0.04924897570662041,0.7714023712910426,0.5238095238095238,2.3633862714144978
28,Haywood Highsmith_points_over,5.5,3,0.26750100823655154,0.04924897570662041,0.739826483899167,0.5238095238095238,2.0619800735829585
32,Anthony Black_rebounds_over,1.5,3,0.26750100823655154,0.04924897570662041,0.7326151184283981,0.6551724137931035,0.591010114321985
4,Chris Boucher_points_over,7.5,4,0.3400773988196027,0.05939323000245429,0.8524509017987514,0.5238095238095238,3.1370313353517183
