,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Aaron Gordon_assists_under,3.5,,,,,1.0,,,,,,,,,,
1,Alexandre Sarr_assists_under,1.5,,,1.0,,,,,,,,,,1.0,,
2,Alexandre Sarr_fg3m_over,1.5,,,,,,,1.0,,,,,,,,
3,Alexandre Sarr_rebounds_over,5.5,,,,1.0,1.0,,,,,,,,,,
4,Bilal Coulibaly_points_under,11.5,,,,,1.0,,,,,,,,,,
5,CJ McCollum_assists_under,3.5,,,,,,,,,,,,1.0,,,
6,CJ McCollum_points_over,18.5,,,,,,,,,,,,,,1.0,
7,Christian Braun_fg3m_under,0.5,,,,,,,,,,,,,1.0,,
8,Daniel Gafford_points_over,11.5,,1.0,,1.0,,,,,,1.0,,,,,
9,Daniel Gafford_rebounds_over,6.5,,,,,,,1.0,,,1.0,,,,,
10,Davion Mitchell_points_under,7.5,,,,,,,,,,,,,1.0,,
11,Dejounte Murray_points_under,17.5,,,,,,1.0,,,,,,,,1.0,
12,Dereck Lively II_assists_over,1.5,,,,,,,,,,,,1.0,,,
13,Dereck Lively II_points_over,8.5,,,,,,,1.0,,,,,,,,1.0
14,Dereck Lively II_rebounds_under,8.5,1.0,,,,,,,,,,,,,,
15,Gradey Dick_points_over,14.5,,,1.0,,,,,1.0,,,,,,,
16,Gradey Dick_rebounds_over,2.5,,,1.0,,,,,,,,,,,,
17,Herbert Jones_fg3m_over,1.5,,1.0,,,,,,,,,,,,,
18,Herbert Jones_rebounds_over,3.5,,,,,,,,,,1.0,,,,,
19,Isaiah Hartenstein_assists_over,3.5,,,,1.0,,,,,,,,,,,
20,Isaiah Hartenstein_points_under,10.5,1.0,,,,,,,,,,,,,,
21,Jakob Poeltl_points_over,14.5,,,,,,,,,,,,,,,1.0
22,Jakob Poeltl_rebounds_over,10.5,,,,,,1.0,,,1.0,,,,,,
23,Jalen Williams_assists_over,4.5,,,1.0,,,,,,1.0,,,,,,
24,Jalen Williams_points_over,21.5,,,,,,1.0,,,,,,,,,
25,Jamal Murray_assists_over,6.5,,1.0,,,,,,,,,,,,,
26,Jordan Poole_fg3m_under,2.5,,,,,,,,,,1.0,1.0,,,,
27,Jordan Poole_points_under,22.5,,,,,,,1.0,,,,,,,,1.0
28,Jordan Poole_rebounds_under,2.5,,,,,1.0,,,,1.0,,,,,1.0,
29,Klay Thompson_points_under,11.5,,,,,,,,,,,,,1.0,,
30,Kyrie Irving_points_under,23.5,,,,,,,,,,,,,,1.0,
31,Kyrie Irving_rebounds_over,3.5,,,,,,,,,,,1.0,,,,
32,Luguentz Dort_fg3m_under,1.5,,,,,,,,,,,1.0,,,,
33,Luguentz Dort_rebounds_over,3.5,,1.0,,,,,,,,,,,,,
34,Michael Porter Jr._points_over,19.5,,,,,,,,1.0,,,,,,,
35,RJ Barrett_assists_over,4.5,,,,,,,,,,,1.0,,,,
36,RJ Barrett_fg3m_over,1.5,,,,,,,,,,,,,,,1.0
37,RJ Barrett_rebounds_over,6.5,,,,,,,,1.0,,,,,,,
38,Scottie Barnes_assists_over,7.5,,,,1.0,,,,,,,,,,,
39,Scottie Barnes_fg3m_over,1.5,,,,,,,,1.0,,,,1.0,,,
40,Scottie Barnes_rebounds_over,8.5,,,,,,1.0,,,,,,,,,
41,Shai Gilgeous-Alexander_assists_over,5.5,,,,,,,,,1.0,,,,,,
42,Trey Murphy III_assists_over,1.5,1.0,,,,,,,,,,,,,,
43,Trey Murphy III_points_over,14.5,,,,,,,,,,,,1.0,,,
44,Trey Murphy III_rebounds_under,4.5,1.0,,,,,,,,,,,,,,
