,PROP_TAG,THRESH,1,2,3,4,5
0,Bennedict Mathurin_assists_over,1.5,,1.0,,,
1,Bennedict Mathurin_rebounds_under,6.5,,1.0,,,
2,Brandon Miller_assists_under,3.5,1.0,,,,
3,Brandon Miller_fg3m_over,3.5,,,,1.0,
4,Brandon Miller_points_over,25.5,,,,,1.0
5,Brandon Miller_rebounds_over,5.5,1.0,,,,
6,Brook Lopez_fg3m_over,1.5,1.0,,,,
7,Brook Lopez_points_over,9.5,,,,1.0,
8,Cameron Johnson_fg3m_over,2.5,,,,,1.0
9,Cameron Johnson_points_over,19.5,,,,1.0,
10,Caris LeVert_fg3m_over,1.5,,,,,1.0
11,Caris LeVert_points_over,10.5,1.0,,,,
12,Caris LeVert_rebounds_under,3.5,,,,,1.0
13,Damian Lillard_assists_over,6.5,,,,,1.0
14,Damian Lillard_points_over,23.5,,,,1.0,
15,Damian Lillard_rebounds_over,3.5,,,,1.0,
16,Darius Garland_points_over,18.5,,,,1.0,
17,Donovan Mitchell_assists_over,4.5,,,1.0,,
18,Donovan Mitchell_fg3m_over,3.5,,,,1.0,
19,Donovan Mitchell_points_over,23.5,,,1.0,,
20,Donovan Mitchell_rebounds_over,4.5,,,1.0,,
21,Dorian Finney-Smith_fg3m_over,1.5,,,,,1.0
22,Dorian Finney-Smith_points_over,8.5,,,1.0,,
23,Evan Mobley_assists_over,2.5,,1.0,,,
24,Evan Mobley_fg3m_over,0.5,,,1.0,,
25,Evan Mobley_rebounds_over,9.5,,,,,1.0
26,Giannis Antetokounmpo_assists_over,5.5,1.0,,,,
27,Giannis Antetokounmpo_fg3m_under,0.5,1.0,,,,
28,Giannis Antetokounmpo_points_over,30.5,,1.0,,,
29,Isaac Okoro_points_under,6.5,,,1.0,,
30,Jalen Wilson_assists_under,1.5,,1.0,,,
31,Jalen Wilson_fg3m_over,1.5,,1.0,,,
32,Jalen Wilson_rebounds_under,4.5,,,,,1.0
33,Jarrett Allen_assists_over,1.5,1.0,,,,
34,Jarrett Allen_points_over,11.5,,1.0,,,
35,Jarrett Allen_rebounds_under,10.5,,,1.0,,
36,Josh Green_assists_under,2.5,1.0,,,,
37,Josh Green_rebounds_under,3.5,1.0,,,,
38,Myles Turner_assists_over,1.5,,1.0,,,
39,Myles Turner_points_under,14.5,,,,,1.0
40,Nic Claxton_rebounds_under,8.5,,,1.0,,
41,Pascal Siakam_points_over,18.5,,1.0,,,
42,Pascal Siakam_rebounds_under,7.5,,,,1.0,
43,Tyrese Haliburton_assists_under,8.5,,,,1.0,
44,Tyrese Haliburton_rebounds_under,3.5,,,1.0,,
