,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROP_TAG
9,Scotty Pippen Jr.,Grizzlies,fg3m,1.5,-145,under,0.8441950164453962,2.131992380314554,0.5918367346938775,1,0.35281275627703274,0.09178341552533469,Scotty Pippen Jr._fg3m_under
10,Marcus Smart,Grizzlies,points,13.5,-110,under,0.8416224602378094,3.0336689386336353,0.5238095238095238,1,0.35281275627703274,0.09178341552533469,Marcus Smart_points_under
42,Chris Paul,Spurs,points,8.5,-130,over,0.7103768719314076,1.2841030978547598,0.5652173913043479,1,0.35281275627703274,0.09178341552533469,Chris Paul_points_over
47,Naz Reid,Timberwolves,fg3m,1.5,-110,under,0.6990292757659671,1.6725521777660497,0.5238095238095238,1,0.35281275627703274,0.09178341552533469,Naz Reid_fg3m_under
7,Brandin Podziemski,Warriors,points,10.5,-125,under,0.8622379834283881,2.7601418508554927,0.5555555555555556,2,0.2538529508660223,0.10697674418604657,Brandin Podziemski_points_under
56,Fred VanVleet,Rockets,points,16.5,-115,over,0.6761121356128464,1.3201786589896516,0.5348837209302326,2,0.2538529508660223,0.10697674418604657,Fred VanVleet_points_over
58,Anthony Edwards,Timberwolves,rebounds,4.5,-150,over,0.6727851977714412,0.6065433147620096,0.6000000000000001,2,0.2538529508660223,0.10697674418604657,Anthony Edwards_rebounds_over
68,Kevin Huerter,Kings,rebounds,3.5,-150,under,0.6472318887822313,0.3935990731852599,0.6000000000000001,2,0.2538529508660223,0.10697674418604657,Kevin Huerter_rebounds_under
1,Scotty Pippen Jr.,Grizzlies,assists,7.5,-160,under,0.9360566602725789,2.605460364714704,0.6153846153846154,3,0.3367956289906951,0.10121923165401428,Scotty Pippen Jr._assists_under
10,Marcus Smart,Grizzlies,points,13.5,-110,under,0.8416224602378094,3.0336689386336353,0.5238095238095238,3,0.3367956289906951,0.10121923165401428,Marcus Smart_points_under
63,Jabari Smith Jr.,Rockets,rebounds,7.5,-125,under,0.6580820054012145,0.9227380486109307,0.5555555555555556,3,0.3367956289906951,0.10121923165401428,Jabari Smith Jr._rebounds_under
67,De'Aaron Fox,Kings,fg3m,2.5,-130,under,0.6496313518820689,0.746738882033686,0.5652173913043479,3,0.3367956289906951,0.10121923165401428,De'Aaron Fox_fg3m_under
16,Brandin Podziemski,Warriors,fg3m,1.5,-180,under,0.8087921354109989,1.2906054976411028,0.6428571428571428,4,0.3033128205839686,0.12265512265512263,Brandin Podziemski_fg3m_under
30,Jonathan Kuminga,Warriors,points,17.5,-120,under,0.7572750072489359,1.9416875664485804,0.5454545454545454,4,0.3033128205839686,0.12265512265512263,Jonathan Kuminga_points_under
43,Jalen Green,Rockets,fg3m,2.5,-125,under,0.7037203534424978,1.3334831809824805,0.5555555555555556,4,0.3033128205839686,0.12265512265512263,Jalen Green_fg3m_under
44,Marcus Smart,Grizzlies,fg3m,2.5,-170,under,0.7037203534424978,0.5883675126316008,0.6296296296296295,4,0.3033128205839686,0.12265512265512263,Marcus Smart_fg3m_under
21,CJ McCollum,Pelicans,fg3m,3.5,-145,under,0.7787229110363169,1.5788659725481944,0.5918367346938775,5,0.28335767440687737,0.15694849368318756,CJ McCollum_fg3m_under
31,Stephon Castle,Spurs,rebounds,3.5,-180,under,0.7360016443852393,0.7244572341074167,0.6428571428571428,5,0.28335767440687737,0.15694849368318756,Stephon Castle_rebounds_under
33,Carlton Carrington,Wizards,fg3m,2.5,-170,under,0.7306210859394124,0.8019909765776874,0.6296296296296295,5,0.28335767440687737,0.15694849368318756,Carlton Carrington_fg3m_under
55,Mike Conley,Timberwolves,fg3m,2.5,-190,under,0.6766764161830634,0.1641094919233781,0.6551724137931035,5,0.28335767440687737,0.15694849368318756,Mike Conley_fg3m_under
