,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alperen Sengun_assists_over,5.5,,,,,,,,,,,,,1.0,
1,Alperen Sengun_fg3m_under,0.5,,,,,,,,,,,1.0,,,
2,Anthony Edwards_points_under,25.5,1.0,,,,,,,,,,,,,
3,Brandin Podziemski_fg3m_under,1.5,,,,,,,,,,,,,1.0,
4,Brandin Podziemski_rebounds_over,5.5,,,,,,1.0,,,,,,,,
5,De'Aaron Fox_assists_over,5.5,,,1.0,,,,,,,,,,,
6,De'Aaron Fox_fg3m_under,2.5,,,,,,,,,,,,,,1.0
7,De'Aaron Fox_points_under,24.5,,,,,,,,,,,,1.0,,
8,DeMar DeRozan_assists_over,3.5,,,,,,,,1.0,,,,,,
9,Dillon Brooks_points_under,13.5,,,,,,,,,1.0,,,,,
10,Domantas Sabonis_fg3m_over,0.5,,1.0,,,,,,,,,,,,
11,Domantas Sabonis_points_over,19.5,,,,,,,,,,1.0,,,,
12,Domantas Sabonis_rebounds_under,13.5,1.0,,,,,1.0,,,,,,,,
13,Donte DiVincenzo_fg3m_under,2.5,,,,,1.0,,,1.0,,,,,,
14,Donte DiVincenzo_rebounds_over,2.5,,,1.0,,,,1.0,,,,,,,
15,Draymond Green_points_under,8.5,,,1.0,,,,,,,,,,,
16,Draymond Green_rebounds_over,5.5,,,,1.0,,,,,,,,,,
17,Fred VanVleet_assists_under,5.5,,,,,,,1.0,,,,,,,
18,Fred VanVleet_points_over,16.5,,,,,,1.0,,,,,,,,
19,Ivica Zubac_assists_under,2.5,,,,,,,,,,,,1.0,,
20,Ivica Zubac_points_under,13.5,,,,,1.0,,,,,,,,,
21,Jabari Smith Jr._assists_under,1.5,,,,,,,1.0,,,,,,,
22,Jabari Smith Jr._points_under,11.5,,,,,,,,,,,,,,1.0
23,Jaden McDaniels_fg3m_under,1.5,,,,,,,,,,,,1.0,,
24,Jalen Green_fg3m_under,2.5,1.0,,,,,,,,,,,,,
25,James Harden_assists_under,8.5,,,,1.0,,,,,,,,,,
26,Jonathan Kuminga_rebounds_under,4.5,,,,,,,,,,,,,1.0,
27,Julius Randle_fg3m_over,1.5,,,,1.0,,,,,,,,,,
28,Julius Randle_rebounds_over,5.5,,,,,,1.0,,,,,,,,
29,Keegan Murray_assists_under,1.5,,,,,,,,,,,1.0,,,
30,Keegan Murray_fg3m_under,2.5,,,,,,,,,,,,,,1.0
31,Kevin Huerter_rebounds_under,3.5,,,,,,,,,1.0,,,,,
32,Malik Monk_assists_over,5.5,,,,1.0,,,,,,,,,,
33,Malik Monk_fg3m_over,2.5,,,,,,,,,1.0,,,,,1.0
34,Malik Monk_points_over,17.5,,,,,,,,,1.0,,,,1.0,
35,Malik Monk_rebounds_over,3.5,,,,,,,,,,,1.0,,,
36,Naz Reid_points_under,11.5,,,,,,,1.0,,,,,,,
37,Nickeil Alexander-Walker_fg3m_over,1.5,1.0,1.0,,,,,,,,,,,,
38,Nickeil Alexander-Walker_points_over,7.5,,,,,1.0,,,,,1.0,,,,
39,Rudy Gobert_assists_over,1.5,,,,,,,,,,,,1.0,,
40,Rudy Gobert_rebounds_under,11.5,,1.0,,,,,,,,1.0,,,,
41,Stephen Curry_assists_over,5.5,,1.0,,,,,,1.0,,,,,,
42,Stephen Curry_fg3m_under,4.5,,,1.0,,,,,1.0,,,,,,
43,Stephen Curry_points_under,24.5,,,,,,,,,,,1.0,,,
44,Stephen Curry_rebounds_over,4.5,,,,,1.0,,,,,1.0,,,,
