,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
0,Obi Toppin,Pacers,points,8.5,-105,over,0.7819124821871821,2.6329551832558247,0.5121951219512195
1,Obi Toppin,Pacers,points,8.5,-130,under,0.21808751781281788,-3.0707642655019955,0.5652173913043479
2,Pascal Siakam,Pacers,points,21.5,-120,over,0.5283580215361761,-0.15671813591838557,0.5454545454545454
3,Pascal Siakam,Pacers,points,21.5,-110,under,0.47164197846382394,-0.4979629328453159,0.5238095238095238
4,Aaron Nesmith,Pacers,points,9.5,-110,over,0.6099000465579073,0.8217731716891157,0.5238095238095238
5,Aaron Nesmith,Pacers,points,9.5,-120,under,0.3900999534420927,-1.4240837601141498,0.5454545454545454
6,Tyrese Haliburton,Pacers,points,18.5,-115,over,0.4900200228156881,-0.4193780475924811,0.5348837209302326
7,Tyrese Haliburton,Pacers,points,18.5,-115,under,0.5099799771843119,-0.2327958654509974,0.5348837209302326
8,T.J. McConnell,Pacers,points,10.5,105,over,0.7235002452236197,2.4158775135421013,0.48780487804878053
9,T.J. McConnell,Pacers,points,10.5,-140,under,0.27649975477638034,-2.6300021019167397,0.5833333333333333
10,Andrew Nembhard,Pacers,points,9.5,-125,over,0.6849575818259804,1.1646182364338236,0.5555555555555556
11,Andrew Nembhard,Pacers,points,9.5,-105,under,0.31504241817401957,-1.9245859178250475,0.5121951219512195
12,Myles Turner,Pacers,points,15.5,-125,over,0.6102136898763074,0.49192320888676644,0.5555555555555556
13,Myles Turner,Pacers,points,15.5,-105,under,0.3897863101236926,-1.1949431630782397,0.5121951219512195
14,Ben Sheppard,Pacers,points,4.5,-110,over,0.6578499826232136,1.2794771068579491,0.5238095238095238
15,Ben Sheppard,Pacers,points,4.5,-120,under,0.3421500173767864,-1.8636248407127907,0.5454545454545454
16,Isaiah Hartenstein,Knicks,points,8.5,-105,over,0.7144896203736533,1.9747796274570906,0.5121951219512195
17,Isaiah Hartenstein,Knicks,points,8.5,-130,under,0.2855103796263468,-2.4743312571515474,0.5652173913043479
18,Jalen Brunson,Knicks,points,35.5,-105,over,0.3962279405662812,-1.132060580186303,0.5121951219512195
19,Jalen Brunson,Knicks,points,35.5,-125,under,0.6037720594337188,0.4339485349034691,0.5555555555555556
20,Donte DiVincenzo,Knicks,points,17.5,-110,over,0.6353328313436669,1.0645406628259124,0.5238095238095238
21,Donte DiVincenzo,Knicks,points,17.5,-115,under,0.3646671686563331,-1.5911547277777562,0.5348837209302326
22,Josh Hart,Knicks,points,11.5,-125,over,0.6628697197095661,0.9658274773860951,0.5555555555555556
23,Josh Hart,Knicks,points,11.5,-105,under,0.3371302802904339,-1.7089663114505265,0.5121951219512195
24,Miles McBride,Knicks,points,13.5,-120,over,0.400589536613146,-1.3279292477128277,0.5454545454545454
25,Miles McBride,Knicks,points,13.5,-110,under,0.599410463386854,0.7216453323290617,0.5238095238095238
26,Tyrese Haliburton,Pacers,assists,8.5,-105,over,0.5230870723310934,0.10632618227972124,0.5121951219512195
27,Tyrese Haliburton,Pacers,assists,8.5,-140,under,0.4769129276689066,-0.9121749056950854,0.5833333333333333
28,T.J. McConnell,Pacers,assists,4.5,110,over,0.6815360251474281,2.156128264047995,0.47619047619047616
29,T.J. McConnell,Pacers,assists,4.5,-155,under,0.318463974852572,-2.380376981051424,0.607843137254902
30,Andrew Nembhard,Pacers,assists,4.5,105,over,0.4256935667087164,-0.6366409412356573,0.48780487804878053
31,Andrew Nembhard,Pacers,assists,4.5,-145,under,0.5743064332912836,-0.14810082219432807,0.5918367346938775
32,Myles Turner,Pacers,assists,1.5,-130,over,0.5605404954201741,-0.041372540513843425,0.5652173913043479
33,Myles Turner,Pacers,assists,1.5,-105,under,0.43945950457982585,-0.7100381695778912,0.5121951219512195
34,Pascal Siakam,Pacers,assists,2.5,-180,over,0.6200962589216268,-0.17702909727623606,0.6428571428571428
35,Pascal Siakam,Pacers,assists,2.5,125,under,0.37990374107837316,-0.7260829128683017,0.4444444444444444
36,Aaron Nesmith,Pacers,assists,1.5,-145,over,0.6047127189295851,0.10877986681890928,0.5918367346938775
37,Aaron Nesmith,Pacers,assists,1.5,105,under,0.39528728107041483,-0.9483053690282484,0.48780487804878053
38,Obi Toppin,Pacers,assists,1.5,125,over,0.48789268835204525,0.4887927439605093,0.4444444444444444
