,id,player_id,game_id,points,assists,rebounds,steals,blocks,turnovers,fouls,minutes,fg_made,fg_attempts,fg_percentage,fg3_made,fg3_attempts,fg3_percentage,ft_made,ft_attempts,ft_percentage,plus_minus
0,26419,1,22301147,13,3,8,1,0,1,2,24,6,7,0.857,1,1,1.0,0,0,0.0,-14
1,26420,1,22301130,17,4,6,1,0,6,0,34,8,18,0.444,1,5,0.2,0,0,0.0,-8
2,26421,1,22301124,6,4,16,1,0,2,1,36,3,12,0.25,0,1,0.0,0,0,0.0,-11
3,26422,1,22301104,28,11,14,4,1,3,0,37,10,14,0.714,2,4,0.5,6,7,0.857,12
4,26423,1,22301091,11,1,4,2,0,1,2,25,4,12,0.333,2,5,0.4,1,2,0.5,15
5,26424,1,22300990,25,4,9,0,1,1,1,32,9,20,0.45,2,11,0.182,5,6,0.833,-22
6,26425,1,22300982,18,6,12,3,2,1,4,36,7,14,0.5,3,3,1.0,1,1,1.0,16
7,26426,1,22300966,26,5,5,0,0,3,1,35,8,23,0.348,4,8,0.5,6,10,0.6,-2
8,26427,1,22300895,7,4,4,0,1,1,1,19,3,5,0.6,1,2,0.5,0,0,0.0,12
9,26428,1,22300889,26,7,9,1,0,1,4,38,12,17,0.706,2,3,0.667,0,0,0.0,23
10,26429,1,22300866,7,1,9,0,0,1,1,35,3,12,0.25,0,4,0.0,1,2,0.5,-10
11,26430,1,22300851,14,0,5,0,2,2,1,33,5,12,0.417,1,4,0.25,3,4,0.75,-38
12,26431,1,22300835,22,6,13,1,0,5,3,35,9,14,0.643,2,4,0.5,2,2,1.0,33
13,26432,1,22300821,21,7,10,1,2,0,3,39,9,19,0.474,2,5,0.4,1,1,1.0,16
14,26433,1,22300804,12,4,12,1,3,1,0,37,6,13,0.462,0,2,0.0,0,3,0.0,7
15,26434,1,22300777,19,0,12,0,2,2,3,38,9,18,0.5,0,5,0.0,1,2,0.5,-20
16,26435,1,22300763,13,2,8,0,0,0,3,35,5,9,0.556,0,2,0.0,3,4,0.75,-13
17,26436,2,22301188,0,2,3,0,0,0,0,6,0,0,0.0,0,0,0.0,0,0,0.0,-6
18,26437,2,22301159,6,5,2,1,0,2,0,20,3,5,0.6,0,0,0.0,0,1,0.0,-13
19,26438,2,22301076,2,0,1,0,0,1,0,6,1,3,0.333,0,0,0.0,0,0,0.0,1
20,26439,2,22301060,4,1,0,0,0,1,0,6,2,2,1.0,0,0,0.0,0,0,0.0,-2
21,26440,2,22301051,2,4,2,0,0,0,0,16,0,4,0.0,0,1,0.0,2,2,1.0,-5
22,26441,2,22301034,0,1,2,0,1,1,0,7,0,2,0.0,0,0,0.0,0,0,0.0,-4
23,26442,2,22301021,4,9,1,2,0,1,0,17,2,5,0.4,0,1,0.0,0,0,0.0,18
24,26443,2,22301010,2,4,1,1,0,1,1,10,1,2,0.5,0,1,0.0,0,0,0.0,-9
25,26444,2,22300990,2,6,4,0,0,1,0,22,1,2,0.5,0,0,0.0,0,0,0.0,-14
26,26445,2,22300982,2,3,1,0,0,0,1,16,1,3,0.333,0,0,0.0,0,0,0.0,9
27,26446,2,22300966,0,4,2,0,1,0,1,19,0,1,0.0,0,0,0.0,0,0,0.0,-7
28,26447,2,22300953,6,4,0,0,0,1,0,11,2,4,0.5,0,0,0.0,2,2,1.0,2
29,26448,2,22300925,0,0,1,0,0,0,1,7,0,1,0.0,0,0,0.0,0,0,0.0,-8
30,26449,2,22300913,2,0,1,0,0,0,0,8,1,2,0.5,0,0,0.0,0,0,0.0,-8
31,26450,2,22300895,6,1,3,0,0,0,1,14,3,4,0.75,0,0,0.0,0,0,0.0,3
32,26451,2,22300889,5,4,1,0,0,0,2,11,2,2,1.0,0,0,0.0,1,2,0.5,14
33,26452,2,22300866,0,1,0,0,0,0,0,2,0,0,0.0,0,0,0.0,0,0,0.0,2
34,26453,2,22300851,0,1,0,0,0,0,0,5,0,1,0.0,0,0,0.0,0,0,0.0,-2
35,26514,22,42300104,7,0,3,0,0,0,1,14,1,5,0.2,1,3,0.333,4,4,1.0,9
36,26515,22,42300103,18,2,5,1,2,0,3,27,5,9,0.556,3,5,0.6,5,6,0.833,12
37,26516,22,42300102,6,4,8,3,2,2,3,30,1,9,0.111,0,4,0.0,4,4,1.0,-32
38,26517,22,42300101,18,1,4,1,2,2,3,34,7,13,0.538,4,8,0.5,0,0,0.0,17
39,26478,22,42300104,7,0,3,0,0,0,1,14,1,5,0.2,1,3,0.333,4,4,1.0,9
40,26479,22,42300103,18,2,5,1,2,0,3,27,5,9,0.556,3,5,0.6,5,6,0.833,12
41,26480,22,42300102,6,4,8,3,2,2,3,30,1,9,0.111,0,4,0.0,4,4,1.0,-32
42,26481,22,42300101,18,1,4,1,2,2,3,34,7,13,0.538,4,8,0.5,0,0,0.0,17
43,26539,19,42300203,33,6,13,1,1,5,2,42,11,25,0.44,2,8,0.25,9,9,1.0,8
44,26540,19,42300202,25,6,7,1,0,1,3,38,7,17,0.412,2,5,0.4,9,11,0.818,-22
45,26541,19,42300201,18,5,11,0,3,1,3,35,7,19,0.368,0,5,0.0,4,4,1.0,18
46,26542,19,42300105,16,3,12,0,1,2,2,32,4,9,0.444,2,4,0.5,6,9,0.667,35
47,26543,19,42300104,20,5,11,0,0,1,3,37,5,14,0.357,2,6,0.333,8,8,1.0,12
48,26544,19,42300103,22,6,11,0,1,0,3,39,6,16,0.375,2,7,0.286,8,12,0.667,22
49,26545,19,42300102,28,3,8,0,1,3,3,41,10,20,0.5,2,6,0.333,6,8,0.75,6
50,26546,19,42300101,23,10,10,2,0,3,4,41,7,18,0.389,1,8,0.125,8,8,1.0,3
51,26547,20,42300203,18,5,8,0,1,1,1,38,7,10,0.7,3,4,0.75,1,2,0.5,15
52,26548,20,42300202,4,3,2,2,0,0,2,35,2,7,0.286,0,2,0.0,0,0,0.0,-21
53,26549,20,42300201,14,2,6,0,1,0,2,36,6,14,0.429,2,7,0.286,0,0,0.0,14
