,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO_WIN
112,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,37,0.289808978769941,2.3567729639934645,11.582708645677162
113,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,37,0.289808978769941,2.3567729639934645,11.582708645677162
114,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,37,0.289808978769941,2.3567729639934645,11.582708645677162
115,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,37,0.289808978769941,2.3567729639934645,11.582708645677162
42,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,12,0.38604321465693553,3.217386536622512,10.924648786717754
41,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,12,0.38604321465693553,3.217386536622512,10.924648786717754
40,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,12,0.38604321465693553,3.217386536622512,10.924648786717754
39,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,12,0.38604321465693553,3.217386536622512,10.924648786717754
38,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,12,0.38604321465693553,3.217386536622512,10.924648786717754
117,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,38,0.3089649562726877,2.114751857423214,10.081246413830122
118,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,38,0.3089649562726877,2.114751857423214,10.081246413830122
119,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,38,0.3089649562726877,2.114751857423214,10.081246413830122
116,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,38,0.3089649562726877,2.114751857423214,10.081246413830122
203,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,64,0.3878502481539968,2.7952666328197457,9.785391786865189
204,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,64,0.3878502481539968,2.7952666328197457,9.785391786865189
205,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,64,0.3878502481539968,2.7952666328197457,9.785391786865189
206,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,64,0.3878502481539968,2.7952666328197457,9.785391786865189
195,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,61,0.45851001464286495,3.3221996849259448,9.426620023321673
194,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,61,0.45851001464286495,3.3221996849259448,9.426620023321673
193,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,61,0.45851001464286495,3.3221996849259448,9.426620023321673
