,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
47,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,15,0.2710542961058152,0.06849115299165286,2.9575081491013746,14.600425840719483
48,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,15,0.2710542961058152,0.06849115299165286,2.9575081491013746,14.600425840719483
49,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,15,0.2710542961058152,0.06849115299165286,2.9575081491013746,14.600425840719483
50,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,15,0.2710542961058152,0.06849115299165286,2.9575081491013746,14.600425840719483
46,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,15,0.2710542961058152,0.06849115299165286,2.9575081491013746,14.600425840719483
54,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,16,0.2941926202173221,0.0941842814388873,2.123585121878462,10.617482925204065
51,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,16,0.2941926202173221,0.0941842814388873,2.123585121878462,10.617482925204065
52,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,16,0.2941926202173221,0.0941842814388873,2.123585121878462,10.617482925204065
53,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,16,0.2941926202173221,0.0941842814388873,2.123585121878462,10.617482925204065
26,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,7,0.3474949071580026,0.10817905498756561,2.212219844201307,9.243933588761177
25,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,7,0.3474949071580026,0.10817905498756561,2.212219844201307,9.243933588761177
24,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,7,0.3474949071580026,0.10817905498756561,2.212219844201307,9.243933588761177
23,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,7,0.3474949071580026,0.10817905498756561,2.212219844201307,9.243933588761177
