,PROPS,THRESH
269,Pascal Siakam-blocks-under,0.5
268,T.J. McConnell-assists-over,4.5
266,Payton Pritchard-assists-over,2.5
267,Payton Pritchard-points-over,9.5
270,Aaron Nesmith-points-over,9.5
271,Obi Toppin-fgm-over,3.5
1281,Payton Pritchard-steals-under,0.5
1280,Andrew Nembhard-points-over,10.5
1279,Jrue Holiday-points-under,12.5
1278,Jayson Tatum-points-under,29.5
1277,Payton Pritchard-points-over,9.5
134,Jaylen Brown-rebounds-under,6.5
133,Payton Pritchard-steals-under,0.5
131,T.J. McConnell-assists-over,4.5
130,Jayson Tatum-points-under,29.5
132,Jrue Holiday-rebounds-under,5.5
436,Obi Toppin-fgm-over,3.5
435,Al Horford-assists-under,2.5
434,Myles Turner-steals-under,0.5
433,Jrue Holiday-points-under,12.5
846,Luke Kornet-assists-over,0.5
849,Obi Toppin-fgm-over,3.5
848,Myles Turner-steals-under,0.5
847,T.J. McConnell-fgm-over,4.5
1325,Payton Pritchard-assists-over,2.5
1326,T.J. McConnell-points-over,9.5
1329,Aaron Nesmith-points-over,9.5
1328,Jayson Tatum-points-under,29.5
1327,Luke Kornet-points-over,3.5
961,Jayson Tatum-rebounds-under,10.5
960,Obi Toppin-points-over,7.5
964,Payton Pritchard-steals-under,0.5
963,Jayson Tatum-fgm-under,9.5
962,Luke Kornet-points-over,3.5
1212,Payton Pritchard-steals-under,0.5
1208,Al Horford-rebounds-under,7.5
1210,Andrew Nembhard-points-over,10.5
1211,Luke Kornet-fgm-over,1.5
1209,Myles Turner-fg3m-over,1.5
86,Myles Turner-steals-under,0.5
89,Myles Turner-points-over,15.5
88,Obi Toppin-fgm-over,3.5
87,Jayson Tatum-fgm-under,9.5
1041,Payton Pritchard-assists-over,2.5
1042,Al Horford-assists-under,2.5
1044,Andrew Nembhard-points-over,10.5
1043,Obi Toppin-fgm-over,3.5
1872,Myles Turner-fg3m-over,1.5
1873,Obi Toppin-fgm-over,3.5
1874,Luke Kornet-fgm-over,1.5
1870,Andrew Nembhard-blocks-under,0.5
1871,Al Horford-rebounds-under,7.5
182,T.J. McConnell-points-over,9.5
186,Pascal Siakam-blocks-under,0.5
185,Al Horford-rebounds-under,7.5
184,Payton Pritchard-fgm-over,3.5
183,Jayson Tatum-rebounds-under,10.5
852,Obi Toppin-fgm-over,3.5
853,Myles Turner-points-over,15.5
851,Myles Turner-steals-under,0.5
850,Jrue Holiday-points-under,12.5
342,Payton Pritchard-assists-over,2.5
345,Pascal Siakam-assists-over,2.5
346,Payton Pritchard-steals-under,0.5
344,Jrue Holiday-points-under,12.5
343,Luke Kornet-points-over,3.5
515,Andrew Nembhard-points-over,10.5
514,Pascal Siakam-blocks-under,0.5
513,Jrue Holiday-steals-under,1.5
512,Luke Kornet-assists-over,0.5
511,Payton Pritchard-assists-over,2.5
1299,T.J. McConnell-fgm-over,4.5
1300,Aaron Nesmith-points-over,9.5
1298,Jayson Tatum-points-under,29.5
1297,Payton Pritchard-points-over,9.5
928,Payton Pritchard-fg3m-over,1.5
927,Aaron Nesmith-points-over,9.5
926,T.J. McConnell-fgm-over,4.5
925,Payton Pritchard-points-over,9.5
1783,Payton Pritchard-steals-under,0.5
1782,Jrue Holiday-rebounds-under,5.5
1781,Al Horford-rebounds-under,7.5
1780,Jayson Tatum-steals-under,1.5
1779,Jrue Holiday-points-under,12.5
1413,Luke Kornet-assists-over,0.5
1412,Payton Pritchard-points-over,9.5
1414,T.J. McConnell-fgm-over,4.5
1415,T.J. McConnell-assists-over,4.5
974,Payton Pritchard-points-over,9.5
977,Payton Pritchard-fg3m-over,1.5
976,Aaron Nesmith-points-over,9.5
975,Jayson Tatum-fgm-under,9.5
449,Payton Pritchard-assists-over,2.5
450,Jrue Holiday-rebounds-under,5.5
451,Obi Toppin-fgm-over,3.5
452,Payton Pritchard-fg3m-over,1.5
253,Aaron Nesmith-points-over,9.5
986,Obi Toppin-fgm-over,3.5
985,Derrick White-rebounds-over,3.5
984,Payton Pritchard-fgm-over,3.5
987,Luke Kornet-fgm-over,1.5
252,Derrick White-rebounds-over,3.5
254,Obi Toppin-fgm-over,3.5
