,PROPS,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,HOUSE_PARLAY_PROB,PROB,HOUSE_PROB,EV,TO_WIN
32,Obi Toppin-points-over,7.5,9,2.700966484809897,0.31694706391652605,0.08563899868247694,0.8618999066487378,0.5652173913043479,2.6244991742003725,10.676923076923078
33,Payton Pritchard-points-over,9.5,9,2.700966484809897,0.31694706391652605,0.08563899868247694,0.8368140518122709,0.5454545454545454,2.6707954749458174,10.676923076923078
34,Myles Turner-steals-under,0.5,9,2.700966484809897,0.31694706391652605,0.08563899868247694,0.6703200460356393,0.5555555555555556,1.032880414320754,10.676923076923078
35,Jayson Tatum-fgm-under,9.5,9,2.700966484809897,0.31694706391652605,0.08563899868247694,0.6555694814779521,0.5,1.555694814779521,10.676923076923078
97,T.J. McConnell-points-over,9.5,28,2.1174500625252315,0.37301037885550825,0.11965239903581915,0.8119961703007408,0.574468085106383,2.0673740748397806,7.357542415013679
96,Obi Toppin-points-over,7.5,28,2.1174500625252315,0.37301037885550825,0.11965239903581915,0.8618999066487378,0.5652173913043479,2.6244991742003725,7.357542415013679
98,Jayson Tatum-rebounds-under,10.5,28,2.1174500625252315,0.37301037885550825,0.11965239903581915,0.7829049644415078,0.5918367346938775,1.6141971133851523,7.357542415013679
99,Derrick White-rebounds-over,3.5,28,2.1174500625252315,0.37301037885550825,0.11965239903581915,0.6807710116020809,0.6226415094339623,0.4667975174106489,7.357542415013679
147,Jrue Holiday-fgm-under,4.5,41,2.042963880032415,0.2303904295087005,0.07571250878805906,0.5976109055357126,0.5121951219512195,0.8338207445152896,12.207857142857142
146,Myles Turner-steals-under,0.5,41,2.042963880032415,0.2303904295087005,0.07571250878805906,0.6703200460356393,0.5555555555555556,1.032880414320754,12.207857142857142
145,T.J. McConnell-fgm-over,4.5,41,2.042963880032415,0.2303904295087005,0.07571250878805906,0.6872816501433185,0.48780487804878053,2.044636913969015,12.207857142857142
144,Payton Pritchard-points-over,9.5,41,2.042963880032415,0.2303904295087005,0.07571250878805906,0.8368140518122709,0.5454545454545454,2.6707954749458174,12.207857142857142
30,T.J. McConnell-assists-over,4.5,8,2.0120619098953423,0.31032572473954306,0.10302767141672917,0.6872816501433185,0.5555555555555556,1.185534851289867,8.706130268199233
31,Myles Turner-fg3m-over,1.5,8,2.0120619098953423,0.31032572473954306,0.10302767141672917,0.664507801973037,0.5918367346938775,0.6139452235653133,8.706130268199233
28,Payton Pritchard-points-over,9.5,8,2.0120619098953423,0.31032572473954306,0.10302767141672917,0.8368140518122709,0.5454545454545454,2.6707954749458174,8.706130268199233
29,T.J. McConnell-points-over,9.5,8,2.0120619098953423,0.31032572473954306,0.10302767141672917,0.8119961703007408,0.574468085106383,2.0673740748397806,8.706130268199233
20,Payton Pritchard-assists-over,2.5,6,1.8371136347190369,0.26686039495494096,0.0940605239385727,0.8415674019597683,0.5833333333333333,2.213434873940872,9.631452581032415
21,Obi Toppin-fgm-over,2.5,6,1.8371136347190369,0.26686039495494096,0.0940605239385727,0.8100518232671807,0.6296296296296295,1.4327644788864355,9.631452581032415
22,Al Horford-assists-under,2.5,6,1.8371136347190369,0.26686039495494096,0.0940605239385727,0.6550340885996073,0.5,1.5503408859960732,9.631452581032415
23,Jrue Holiday-fgm-under,4.5,6,1.8371136347190369,0.26686039495494096,0.0940605239385727,0.5976109055357126,0.5121951219512195,0.8338207445152896,9.631452581032415
55,Payton Pritchard-assists-over,2.5,15,1.7609862755208896,0.3002920403247104,0.10876259798432251,0.8415674019597683,0.5833333333333333,2.213434873940872,8.194337194337194
56,T.J. McConnell-points-over,9.5,15,1.7609862755208896,0.3002920403247104,0.10876259798432251,0.8119961703007408,0.574468085106383,2.0673740748397806,8.194337194337194
57,Pascal Siakam-blocks-under,0.5,15,1.7609862755208896,0.3002920403247104,0.10876259798432251,0.6703200460356393,0.6491228070175439,0.1632760302745191,8.194337194337194
58,Jayson Tatum-fgm-under,9.5,15,1.7609862755208896,0.3002920403247104,0.10876259798432251,0.6555694814779521,0.5,1.555694814779521,8.194337194337194
48,T.J. McConnell-assists-over,4.5,13,1.6750205835433398,0.2186381639377665,0.08173326414115206,0.6872816501433185,0.5555555555555556,1.185534851289867,11.234920634920634
47,T.J. McConnell-points-over,9.5,13,1.6750205835433398,0.2186381639377665,0.08173326414115206,0.8119961703007408,0.574468085106383,2.0673740748397806,11.234920634920634
50,Jrue Holiday-fgm-under,4.5,13,1.6750205835433398,0.2186381639377665,0.08173326414115206,0.5976109055357126,0.5121951219512195,0.8338207445152896,11.234920634920634
49,Jayson Tatum-fgm-under,9.5,13,1.6750205835433398,0.2186381639377665,0.08173326414115206,0.6555694814779521,0.5,1.555694814779521,11.234920634920634
1,Payton Pritchard-points-over,9.5,0,1.603029444692063,0.274602522847923,0.10549343704423916,0.8368140518122709,0.5454545454545454,2.6707954749458174,8.47926267281106
0,Payton Pritchard-assists-over,2.5,0,1.603029444692063,0.274602522847923,0.10549343704423916,0.8415674019597683,0.5833333333333333,2.213434873940872,8.47926267281106
2,Myles Turner-points-over,15.5,0,1.603029444692063,0.274602522847923,0.10549343704423916,0.6285463439246328,0.5454545454545454,0.7616748193091349,8.47926267281106
3,Isaiah Jackson-rebounds-under,3.5,0,1.603029444692063,0.274602522847923,0.10549343704423916,0.6203679449590859,0.607843137254902,0.10302664401828654,8.47926267281106
66,Obi Toppin-points-over,7.5,18,1.4374754138765842,0.27933412535365326,0.11459977145344727,0.8618999066487378,0.5652173913043479,2.6244991742003725,7.7260208926875595
67,Jayson Tatum-steals-under,1.5,18,1.4374754138765842,0.27933412535365326,0.11459977145344727,0.7357588823428847,0.7058823529411764,0.21162541659543344,7.7260208926875595
68,Jrue Holiday-rebounds-under,5.5,18,1.4374754138765842,0.27933412535365326,0.11459977145344727,0.6719128086015262,0.574468085106383,0.8481300007910615,7.7260208926875595
69,Jayson Tatum-fgm-under,9.5,18,1.4374754138765842,0.27933412535365326,0.11459977145344727,0.6555694814779521,0.5,1.555694814779521,7.7260208926875595
46,Al Horford-assists-under,2.5,12,1.4104044867725198,0.37844514888940534,0.15700483091787443,0.6550340885996073,0.5,1.5503408859960732,5.369230769230769
45,Myles Turner-steals-under,0.5,12,1.4104044867725198,0.37844514888940534,0.15700483091787443,0.6703200460356393,0.5555555555555556,1.032880414320754,5.369230769230769
44,Obi Toppin-points-over,7.5,12,1.4104044867725198,0.37844514888940534,0.15700483091787443,0.8618999066487378,0.5652173913043479,2.6244991742003725,5.369230769230769
140,Payton Pritchard-points-over,9.5,40,1.3916541321225646,0.23094702798225716,0.09656372335798172,0.8368140518122709,0.5454545454545454,2.6707954749458174,9.355855855855857
141,Pascal Siakam-blocks-under,0.5,40,1.3916541321225646,0.23094702798225716,0.09656372335798172,0.6703200460356393,0.6491228070175439,0.1632760302745191,9.355855855855857
143,Myles Turner-points-over,15.5,40,1.3916541321225646,0.23094702798225716,0.09656372335798172,0.6285463439246328,0.5454545454545454,0.7616748193091349,9.355855855855857
142,Al Horford-assists-under,2.5,40,1.3916541321225646,0.23094702798225716,0.09656372335798172,0.6550340885996073,0.5,1.5503408859960732,9.355855855855857
