,0
0,1628369
1,201950
2,1627759
3,204001
4,1628401
5,1630202
6,1629052
7,1641809
8,1631120
9,1630214
10,1641775
11,1630573
12,1628436
13,201143
14,1630531
15,1629004
16,1629674
17,1629622
18,1629660
19,1627747
20,1630596
21,1630241
22,1631250
23,1641854
24,1629636
25,202684
26,1630600
27,1627777
28,1641734
29,202694
30,1627745
31,1628386
32,1629731
33,1630171
34,1628378
35,1631220
36,1629627
37,203468
38,1630529
39,1630230
40,1630700
41,1627742
42,1630631
43,202685
44,1626204
45,1641722
46,1630530
47,1630604
48,1630792
49,1630346
50,203469
51,1630526
52,203957
53,1630314
54,1630702
55,1641726
56,203939
57,1630182
58,1630639
59,203501
60,202681
61,1641788
62,1641765
63,1629655
64,1629023
65,1630535
66,1628467
67,1627884
68,1629029
69,202693
70,1631128
71,1629008
72,1631124
73,1641816
74,203484
75,201599
76,202704
77,1631212
78,203200
79,1630296
80,203999
81,1631221
82,1630192
83,1629618
84,1627750
85,1630643
86,1628427
87,203932
88,1641945
89,203081
90,1630699
91,1627736
92,1641753
93,1626171
94,201572
95,201568
96,1631260
97,201976
98,203114
99,1631102
100,1626192
101,203507
102,203648
103,1641748
104,1631157
105,203109
106,1641740
107,203937
108,1630183
109,1630162
110,1629162
111,1631111
112,1631169
113,1629638
114,201144
115,1629675
116,1630227
117,1628420
118,203933
119,203497
120,1626157
121,1631159
122,1630568
123,1628978
124,1631210
125,1630613
126,1630540
127,1628404
128,1629718
129,1630173
130,1628384
131,1629610
132,1628973
133,1629003
134,202692
135,1629603
136,1629011
137,203944
138,202711
139,1630579
140,1628392
