,player_name,player_position,minutes,points,rebounds,assists,efg,fg3a,fg3m,fg3_pct,fga,fgm,fta,ft_pct,steals,blocks,date,game_id
80,Tyrese Haliburton,G,27.0,10,4,8,0.625,6,2,0.333,8,4,0,0.0,1,0,2024-05-23,3797
81,Tyrese Haliburton,G,40.0,25,3,10,0.611,14,6,0.429,18,8,3,1.0,3,1,2024-05-21,3542
82,Tyrese Haliburton,G,32.0,26,4,6,0.765,12,6,0.5,17,10,1,0.0,1,1,2024-05-19,3386
83,Tyrese Haliburton,G,32.0,15,6,9,0.625,8,3,0.375,12,6,0,0.0,0,2,2024-05-17,3123
79,Tyrese Haliburton,G,33.0,13,2,5,0.611,4,1,0.25,9,5,2,1.0,2,2,2024-05-14,2645
6,Tyrese Haliburton,G,27.0,20,6,5,0.667,10,4,0.4,15,8,0,0.0,0,0,2024-05-12,76
0,Tyrese Haliburton,G,38.0,35,4,7,0.654,16,6,0.375,26,14,1,1.0,2,1,2024-05-10,77
7,Tyrese Haliburton,G,34.0,34,6,9,0.763,11,7,0.636,19,11,6,0.833,3,0,2024-05-08,78
1,Tyrese Haliburton,G,36.0,6,2,8,0.5,5,2,0.4,6,2,0,0.0,4,0,2024-05-06,79
8,Tyrese Haliburton,G,31.0,17,6,10,0.5,10,2,0.2,16,7,1,1.0,0,0,2024-05-02,62
9,Tyrese Haliburton,G,33.0,16,4,6,0.571,10,4,0.4,14,6,0,0.0,0,0,2024-04-30,63
3,Tyrese Haliburton,G,32.0,24,4,4,0.656,12,5,0.417,16,8,3,1.0,1,0,2024-04-28,64
4,Tyrese Haliburton,G,45.0,18,10,16,0.386,12,1,0.083,22,8,1,1.0,0,1,2024-04-26,65
2,Tyrese Haliburton,G,36.0,12,4,12,0.55,7,3,0.429,10,4,2,0.5,1,1,2024-04-23,66
5,Tyrese Haliburton,G,37.0,9,7,8,0.643,3,1,0.333,7,4,0,0.0,1,1,2024-04-21,67
12,Tyrese Haliburton,G,25.0,12,2,13,0.5,4,0,0.0,10,5,3,0.667,3,1,2024-04-14,121
63,Tyrese Haliburton,G,35.0,19,6,12,0.692,10,4,0.4,13,7,1,1.0,1,0,2024-04-12,722
42,Tyrese Haliburton,G,31.0,30,5,5,0.719,8,3,0.375,16,10,10,0.7,2,1,2024-04-09,723
13,Tyrese Haliburton,G,32.0,12,4,8,0.4,7,2,0.286,10,3,4,1.0,0,2,2024-04-07,233
40,Tyrese Haliburton,G,35.0,8,2,11,0.5,6,2,0.333,8,3,0,0.0,1,0,2024-04-05,725
19,Tyrese Haliburton,G,36.0,24,3,8,0.523,14,5,0.357,22,9,1,1.0,2,2,2024-04-03,480
20,Tyrese Haliburton,G,26.0,27,4,13,0.733,7,4,0.571,15,9,5,1.0,1,1,2024-04-01,481
10,Tyrese Haliburton,G,33.0,21,8,8,0.567,8,3,0.375,15,7,4,1.0,2,0,2024-03-29,155
68,Tyrese Haliburton,G,31.0,13,4,5,0.367,11,3,0.273,15,4,3,0.667,0,0,2024-03-27,729
74,Tyrese Haliburton,G,30.0,21,1,9,0.833,9,6,0.667,12,7,1,1.0,2,0,2024-03-25,730
11,Tyrese Haliburton,G,32.0,12,6,10,0.462,6,2,0.333,13,5,0,0.0,2,0,2024-03-24,158
70,Tyrese Haliburton,G,37.0,26,2,11,0.611,8,4,0.5,18,9,5,0.8,4,3,2024-03-22,732
50,Tyrese Haliburton,G,25.0,20,3,9,0.731,3,1,0.333,13,9,2,0.5,4,0,2024-03-20,733
64,Tyrese Haliburton,G,32.0,14,6,12,0.321,9,1,0.111,14,4,5,1.0,1,1,2024-03-18,734
23,Tyrese Haliburton,G,30.0,14,7,4,0.361,9,1,0.111,18,6,1,1.0,2,1,2024-03-16,490
69,Tyrese Haliburton,G,38.0,17,3,14,0.5,6,1,0.167,13,6,4,1.0,0,1,2024-03-13,736
41,Tyrese Haliburton,G,35.0,18,4,12,0.6,6,2,0.333,15,8,0,0.0,2,2,2024-03-12,737
29,Tyrese Haliburton,G,35.0,20,7,8,0.433,6,1,0.167,15,6,7,1.0,0,0,2024-03-10,656
21,Tyrese Haliburton,G,37.0,23,3,13,0.667,7,2,0.286,15,9,4,0.75,1,0,2024-03-07,412
