,parlay_tag,props,COMBINED_PROB,COMBINED_EV
0,2024-05-19_0_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565,0.39117733285593465,7.386088137101984
1,2024-05-19_1_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Nikola Jokic_points_30.5_-125_under_P0.682_EV1.140_HOUSE_PROV0.556,0.3827267295326499,7.329268215658937
2,2024-05-19_2_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Kentavious Caldwell-Pope_steals_1.5_-200_under_P0.677_EV0.078_HOUSE_PROV0.667,0.37989026329901754,5.198244568324817
3,2024-05-19_3_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Nikola Jokic_fg3m_1.5_-185_under_P0.677_EV0.216_HOUSE_PROV0.649,0.37989026329901754,5.473872799901162
4,2024-05-19_4_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Karl-Anthony Towns_assists_3.5_-180_under_P0.674_EV0.243_HOUSE_PROV0.643,0.37818743790460735,5.5285515120356745
5,2024-05-19_5_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jamal Murray_steals_1.5_-150_under_P0.663_EV0.522_HOUSE_PROV0.600,0.37175371140364877,6.088685439354867
6,2024-05-19_6_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jamal Murray_points_19.5_-120_over_P0.648_EV0.941_HOUSE_PROV0.545,0.36361045406236453,6.930366816159994
7,2024-05-19_7_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Anthony Edwards_blocks_0.5_-125_under_P0.644_EV0.796_HOUSE_PROV0.556,0.3613236913526633,6.639784628575082
8,2024-05-19_8_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jaden McDaniels_fgm_3.5_-130_over_P0.641_EV0.666_HOUSE_PROV0.565,0.359368954399946,6.378919914501342
9,2024-05-19_9_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Anthony Edwards_points_27.5_-105_under_P0.615_EV1.003_HOUSE_PROV0.512,0.34500706122306657,7.055036978601141
10,2024-05-19_10_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jamal Murray_assists_5.5_-135_over_P0.610_EV0.312_HOUSE_PROV0.574,0.34238729026085074,5.666642256994789
11,2024-05-19_11_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jamal Murray_fgm_7.5_-120_over_P0.596_EV0.464_HOUSE_PROV0.545,0.33440996385367455,5.972274012421163
12,2024-05-19_12_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Anthony Edwards_steals_1.5_-125_under_P0.592_EV0.326_HOUSE_PROV0.556,0.3320358502876845,5.696297748553265
13,2024-05-19_13_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Nikola Jokic_fgm_11.5_-135_under_P0.574_EV0.000_HOUSE_PROV0.574,0.3223070546264864,5.041067955493288
14,2024-05-19_14_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Nikola Jokic_blocks_0.5_130_under_P0.571_EV1.569_HOUSE_PROV0.435,0.32046536613075954,8.191219217755432
15,2024-05-19_15_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Anthony Edwards_fg3m_2.5_100_under_P0.570_EV0.697_HOUSE_PROV0.500,0.3196236433212789,6.440497074436255
16,2024-05-19_16_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jaden McDaniels_rebounds_3.5_115_over_P0.567_EV1.090_HOUSE_PROV0.465,0.31784020386054385,7.229910860054616
17,2024-05-19_17_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Anthony Edwards_fgm_9.5_-110_under_P0.561_EV0.356_HOUSE_PROV0.524,0.3147806437337122,5.755005327568501
18,2024-05-19_18_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Karl-Anthony Towns_steals_0.5_-110_under_P0.549_EV0.239_HOUSE_PROV0.524,0.30789973939251636,5.519907762577644
19,2024-05-19_19_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Aaron Gordon_assists_4.5_105_over_P0.531_EV0.443_HOUSE_PROV0.488,0.2979056722381387,5.929709891578218
20,2024-05-19_20_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Aaron Gordon_steals_0.5_160_under_P0.527_EV1.855_HOUSE_PROV0.385,0.2958268179260823,8.765338361116036
21,2024-05-19_21_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Nikola Jokic_assists_8.5_-105_under_P0.515_EV0.026_HOUSE_PROV0.512,0.2888572734076674,5.093083602761107
22,2024-05-19_22_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Anthony Edwards_assists_5.5_120_over_P0.495_EV0.444_HOUSE_PROV0.455,0.27766081655605784,5.9323437375762165
23,2024-05-19_23_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jamal Murray_rebounds_4.5_105_over_P0.494_EV0.066_HOUSE_PROV0.488,0.27728745838030394,5.1732587160916665
24,2024-05-19_24_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Karl-Anthony Towns_blocks_0.5_160_over_P0.493_EV1.414_HOUSE_PROV0.385,0.2768026213010252,7.88010927530088
25,2024-05-19_25_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Nikola Jokic_steals_1.5_115_under_P0.487_EV0.236_HOUSE_PROV0.465,0.2732551813550592,5.51436057940211
26,2024-05-19_26_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Kentavious Caldwell-Pope_blocks_0.5_115_over_P0.473_EV0.082_HOUSE_PROV0.465,0.26520308585635993,5.204530642881721
27,2024-05-19_27_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Aaron Gordon_fg3m_0.5_145_under_P0.468_EV0.729_HOUSE_PROV0.408,0.262374850547648,6.504408377485067
28,2024-05-19_28_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_points_11.5_-105_over_P0.719_EV2.021_HOUSE_PROV0.512 + Jamal Murray_blocks_0.5_160_over_P0.451_EV0.865_HOUSE_PROV0.385,0.25313016438992586,6.778588522366155
29,2024-05-19_29_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565,0.3805499800574863,6.109132110139697
30,2024-05-19_30_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Nikola Jokic_points_30.5_-125_under_P0.682_EV1.140_HOUSE_PROV0.556,0.3723289594204493,6.058170094787345
31,2024-05-19_31_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Kentavious Caldwell-Pope_steals_1.5_-200_under_P0.677_EV0.078_HOUSE_PROV0.667,0.36956955319217466,4.146846441506323
32,2024-05-19_32_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Nikola Jokic_fg3m_1.5_-185_under_P0.677_EV0.216_HOUSE_PROV0.649,0.36956955319217466,4.39405850749298
33,2024-05-19_33_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Karl-Anthony Towns_assists_3.5_-180_under_P0.674_EV0.243_HOUSE_PROV0.643,0.3679129894921434,4.443100063631681
