PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Bilal Coulibaly,Wizards,fg3m,1.5,-180,under,0.9097959895689501,2.0761910299807234,0.6428571428571428
Bilal Coulibaly,Wizards,points,14.5,-125,under,0.8815299454822748,2.933769509340473,0.5555555555555556
T.J. McConnell,Pacers,fg3m,0.5,-450,under,0.8751733190429474,0.3482813941513455,0.8181818181818181
Cameron Payne,Knicks,points,5.5,-105,over,0.8577723987167589,3.373492463663599,0.5121951219512195
Tyrese Haliburton,Pacers,rebounds,4.5,-160,under,0.8371476972527798,1.8018250401788363,0.6153846153846154
Jalen Suggs,Magic,points,21.5,-125,under,0.8297637656829524,2.4678738911465716,0.5555555555555556
Jordan Poole,Wizards,points,23.5,-125,under,0.8297450650530122,2.4677055854771095,0.5555555555555556
Wendell Carter Jr.,Magic,points,10.5,-150,under,0.8224476284592036,1.8537302371600295,0.6000000000000001
Josh Hart,Knicks,fg3m,0.5,-250,over,0.8111243971624381,0.6778707801370664,0.7142857142857143
OG Anunoby,Knicks,points,14.5,-120,over,0.7919226374595059,2.259290843378805,0.5454545454545454
Josh Hart,Knicks,points,11.5,-130,over,0.7722512211892534,1.831453110520318,0.5652173913043479
Payton Pritchard,Celtics,points,13.5,-125,over,0.7715420553766958,1.9438784983902626,0.5555555555555556
Tristan da Silva,Magic,assists,1.5,-150,under,0.7620128254161398,1.3501068784678312,0.6000000000000001
Jalen Suggs,Magic,rebounds,4.5,-170,under,0.7564941881415291,1.007453847006261,0.6296296296296295
Trey Murphy III,Pelicans,rebounds,6.5,-150,under,0.7523717366213567,1.2697644718446386,0.6000000000000001
Trey Murphy III,Pelicans,fg3m,3.5,-135,under,0.7360016443852393,1.405940238167823,0.574468085106383
Jalen Suggs,Magic,assists,4.5,-125,under,0.7317233537998242,1.585510184198418,0.5555555555555556
Tristan da Silva,Magic,rebounds,2.5,-160,over,0.7311033222888894,0.9402144935972263,0.6153846153846154
