,points,rebounds,assists,efg,fg3a,fg3m,fg3_pct,fga,fgm,fta,ft_pct,steals,blocks,to,pace,def_rating,e_def_rating,off_rating,e_off_rating,date,game_id,team_id
85,118.0,44.5,22.0,0.5565,34.0,13.5,0.3905,88.5,42.0,23.0,0.7995,10.0,3.5,14.5,98.75,113.85,110.35,113.65,113.2,2023-11-17,2515,10
40,113.0,45.0,22.0,0.5395000000000001,34.0,13.0,0.3815,87.0,39.0,23.5,0.743,10.0,3.5,14.0,98.83500000000001,112.5,107.85,113.0,111.45,2023-11-20,1199,10
39,113.0,46.5,22.0,0.5355000000000001,34.0,12.5,0.367,88.5,40.0,23.5,0.7875,10.0,3.0,14.0,98.83500000000001,106.25,101.85,113.0,111.45,2023-11-22,1198,10
84,108.5,46.5,22.0,0.523,33.0,12.0,0.3485,87.0,38.0,24.5,0.817,10.0,3.0,14.0,98.83500000000001,106.25,101.85,109.65,108.65,2023-11-24,2099,10
83,107.0,46.5,22.0,0.514,34.0,11.5,0.3385,87.0,38.0,24.5,0.817,10.0,3.0,13.5,98.83500000000001,112.5,107.55,106.45,104.9,2023-11-25,2263,10
82,106.5,47.0,23.5,0.512,33.0,11.0,0.327,87.0,37.5,24.5,0.817,10.0,3.0,13.0,98.0,106.25,101.85,106.45,104.9,2023-11-27,2343,10
34,106.5,48.0,23.5,0.509,31.5,10.0,0.3105,87.0,37.5,27.0,0.7915,10.0,4.5,12.5,98.25,106.25,101.85,106.5,106.69999999999999,2023-11-29,1114,10
81,107.5,47.0,25.5,0.512,29.0,11.5,0.327,87.0,38.5,27.0,0.766,9.5,4.0,12.0,98.75,112.35,107.1,110.30000000000001,108.44999999999999,2023-11-30,2424,10
80,107.5,45.0,26.0,0.509,30.5,12.0,0.34299999999999997,87.0,38.5,24.5,0.7545,9.5,4.0,11.5,98.5,112.35,107.1,110.30000000000001,108.44999999999999,2023-12-02,2423,10
79,108.5,45.0,26.5,0.512,30.5,12.0,0.333,89.0,40.5,24.5,0.766,9.0,5.5,11.0,99.5,113.1,109.44999999999999,113.35,110.1,2023-12-06,2339,10
46,110.0,48.0,26.5,0.514,30.5,12.0,0.333,89.0,41.0,25.0,0.7595000000000001,7.5,6.0,11.0,99.5,108.6,104.6,113.7,110.1,2023-12-08,1437,10
33,112.0,46.0,26.5,0.5225,30.5,12.0,0.333,89.0,42.0,24.5,0.761,7.5,6.0,11.0,98.75,108.6,104.6,114.75,113.1,2023-12-11,1027,10
32,112.0,41.5,26.5,0.5225,30.5,12.0,0.354,88.5,42.0,23.0,0.761,7.0,7.0,11.0,98.25,113.1,109.44999999999999,114.75,113.1,2023-12-12,1109,10
78,113.5,41.5,25.5,0.545,30.5,12.0,0.377,88.5,42.5,22.0,0.7675000000000001,7.0,7.0,11.0,98.25,113.1,109.44999999999999,115.3,114.9,2023-12-14,2419,10
18,115.5,41.5,25.5,0.5675,30.5,12.5,0.3805,88.0,42.5,23.0,0.7985,6.5,7.5,11.5,97.5,113.1,111.1,117.45,116.15,2023-12-16,614,10
24,118.0,41.0,26.5,0.58,32.0,13.0,0.394,88.0,43.5,23.0,0.824,7.0,7.5,11.0,98.25,116.15,116.1,120.35,117.4,2023-12-18,778,10
77,120.0,41.0,26.5,0.5874999999999999,32.5,13.0,0.4235,88.5,44.0,22.5,0.8405,7.0,7.5,11.0,98.75,117.35,116.94999999999999,124.35,120.65,2023-12-20,2252,10
38,119.5,42.5,26.5,0.5874999999999999,32.5,13.0,0.394,88.0,43.5,23.5,0.862,6.5,7.5,11.0,97.75,117.9,114.75,123.8,120.65,2023-12-21,1269,10
63,119.5,41.0,26.5,0.5874999999999999,33.5,13.0,0.4005,88.0,44.0,22.5,0.862,7.0,7.5,11.5,99.5,117.9,114.75,122.85,119.95,2023-12-23,1923,10
62,119.5,41.0,25.5,0.5874999999999999,33.5,13.0,0.4005,88.0,43.5,22.5,0.8685,7.0,7.5,11.5,98.25,119.44999999999999,117.0,122.85,119.95,2023-12-26,1759,10
53,119.5,41.0,25.5,0.5874999999999999,34.0,13.5,0.4005,88.0,43.5,22.5,0.8685,7.0,5.5,12.0,98.75,119.44999999999999,117.0,122.85,119.95,2023-12-29,1510,10
11,119.5,43.0,26.5,0.5874999999999999,34.0,13.0,0.3885,87.5,43.5,24.0,0.8685,6.5,5.5,12.5,100.0,119.44999999999999,117.0,121.05,119.25,2024-01-01,278,10
28,119.5,43.0,25.5,0.5874999999999999,33.5,13.5,0.4005,86.0,43.5,24.0,0.8685,6.5,4.5,13.0,100.0,117.9,114.75,120.9,119.25,2024-01-03,933,10
76,120.5,41.0,25.5,0.608,34.0,14.0,0.40900000000000003,86.0,43.0,25.0,0.8685,6.5,5.0,12.5,98.5,119.44999999999999,117.0,126.15,123.85,2024-01-05,2079,10
75,118.5,43.0,25.5,0.6045,34.0,14.5,0.4145,86.0,43.0,24.0,0.8514999999999999,6.5,5.0,12.5,98.5,119.44999999999999,115.65,122.05,120.2,2024-01-07,192,10
74,116.0,42.0,25.0,0.572,35.0,14.0,0.40349999999999997,86.0,42.5,21.5,0.8825000000000001,6.5,5.0,13.5,98.25,113.69999999999999,109.9,116.94999999999999,115.6,2024-01-08,930,10
