,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,team_fgm_mad,team_fgm_average,team_fga_mad,team_fga_average,team_fg3m_mad,team_fg3m_average,team_fg3a_mad,team_fg3a_average,team_points_mad,team_points_average,team_rebounds_mad,team_rebounds_average,team_assists_mad,team_assists_average,team_steals_mad,team_steals_average,team_blocks_mad,team_blocks_average,team_to_mad,team_to_average
0,Sam Hauser,Celtics,points,3.5,130,over,0.9869514867341304,6.349942097442498,0.4347826086956522,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
1,Sam Hauser,Celtics,fgm,1.5,140,over,0.8619827985732752,5.343793582879302,0.4166666666666667,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
2,Sam Hauser,Celtics,steals,0.5,300,over,0.4511883639059735,4.02376727811947,0.25,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
3,Payton Pritchard,Celtics,points,8.5,100,over,0.8717425052572366,3.7174250525723664,0.5,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
4,Sam Hauser,Celtics,rebounds,1.5,100,over,0.8235089171050727,3.2350891710507272,0.5,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
5,Payton Pritchard,Celtics,assists,2.5,-110,over,0.8195598876510642,2.823071654851068,0.5238095238095238,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
6,Jayson Tatum,Celtics,points,30.5,-120,under,0.8068854648806717,2.3964500947394916,0.5454545454545454,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
7,Jayson Tatum,Celtics,rebounds,10.5,-110,under,0.7743014528889086,2.3910593230304915,0.5238095238095238,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
8,Jrue Holiday,Celtics,points,13.5,-105,under,0.7469217995026641,2.2913794713355307,0.5121951219512195,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
9,T.J. McConnell,Pacers,points,9.5,-130,over,0.8177437977355175,2.233887441506501,0.5652173913043479,5.930408874022408,46.84,5.930408874022408,91.0,4.447806655516806,13.24,5.930408874022408,34.6,13.343419966550417,120.12,7.41301109252801,41.4,7.41301109252801,31.12,2.965204437011204,6.2,2.965204437011204,5.48,2.965204437011204,10.8
10,Ben Sheppard,Pacers,points,3.5,-120,over,0.7819253918846989,2.167649425609741,0.5454545454545454,5.930408874022408,46.84,5.930408874022408,91.0,4.447806655516806,13.24,5.930408874022408,34.6,13.343419966550417,120.12,7.41301109252801,41.4,7.41301109252801,31.12,2.965204437011204,6.2,2.965204437011204,5.48,2.965204437011204,10.8
11,T.J. McConnell,Pacers,fgm,4.5,105,over,0.6929563933777223,2.1028030321216526,0.48780487804878053,5.930408874022408,46.84,5.930408874022408,91.0,4.447806655516806,13.24,5.930408874022408,34.6,13.343419966550417,120.12,7.41301109252801,41.4,7.41301109252801,31.12,2.965204437011204,6.2,2.965204437011204,5.48,2.965204437011204,10.8
12,Obi Toppin,Pacers,points,8.5,-130,over,0.7984197698786744,2.0629441181575032,0.5652173913043479,5.930408874022408,46.84,5.930408874022408,91.0,4.447806655516806,13.24,5.930408874022408,34.6,13.343419966550417,120.12,7.41301109252801,41.4,7.41301109252801,31.12,2.965204437011204,6.2,2.965204437011204,5.48,2.965204437011204,10.8
13,Sam Hauser,Celtics,blocks,0.5,650,over,0.18126924692201818,1.797596759575681,0.13333333333333333,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.28
