,id,name,team_id,nickname,player_slug,jersey_number,position,height,weight,birth_date,age,experience,school,player_id,how_acquired
0,1,Jalen Johnson,1610612737,Jalen,jalen-johnson,1,F,6-8,219.0,2001-12-18,22,2,Duke,1630552,#20 Pick in 2021 Draft
1,2,Trent Forrest,1610612737,Trent,trent-forrest,2,G,6-4,210.0,1998-06-12,25,3,Florida State,1630235,Signed on 08/08/22
2,3,Seth Lundy,1610612737,Seth,seth-lundy,3,G-F,6-4,220.0,2000-04-02,24,R,Penn State,1641754,#46 Pick in 2023 Draft
3,4,Kobe Bufkin,1610612737,Kobe,kobe-bufkin,4,G,6-5,195.0,2003-09-21,20,R,Michigan,1641723,#15 Pick in 2023 Draft
4,5,Dejounte Murray,1610612737,Dejounte,dejounte-murray,5,G,6-5,180.0,1996-09-19,27,6,Washington,1627749,Traded from SAS on 06/30/22
5,6,Trae Young,1610612737,Trae,trae-young,11,G,6-1,164.0,1998-09-19,25,5,Oklahoma,1629027,Draft Rights Traded from DAL on 06/21/18
6,7,De'Andre Hunter,1610612737,De'Andre,deandre-hunter,12,F-G,6-8,221.0,1997-12-02,26,4,Virginia,1629631,Draft Rights Traded from NOP on 07/07/19
7,8,Bogdan Bogdanovic,1610612737,Bogdan,bogdan-bogdanovic,13,G,6-5,225.0,1992-08-18,31,6,Fenerbahce,203992,Signed on 11/25/20
8,9,AJ Griffin,1610612737,AJ,aj-griffin,14,F,6-6,220.0,2003-08-25,20,1,Duke,1631100,#16 Pick in 2022 Draft
9,10,Clint Capela,1610612737,Clint,clint-capela,15,C,6-10,256.0,1994-05-18,29,9,Elan Chalon,203991,Traded from HOU on 02/05/20
10,11,Onyeka Okongwu,1610612737,Onyeka,onyeka-okongwu,17,F-C,6-10,240.0,2000-12-11,23,3,Southern California,1630168,#6 Pick in 2020 Draft
11,12,Mouhamed Gueye,1610612737,Mouhamed,mouhamed-gueye,18,F,6-10,210.0,2002-11-09,21,R,Washington State,1631243,Draft Rights Traded from BOS on 06/28/23
12,13,Dylan Windler,1610612737,Dylan,dylan-windler,20,G-F,6-7,196.0,1996-09-22,27,3,Belmont,1629685,Signed on 03/04/24
13,14,Bruno Fernando,1610612737,Bruno,bruno-fernando,24,F-C,6-9,240.0,1998-08-15,25,4,Maryland,1628981,Traded from HOU on 02/09/23
14,15,Garrison Mathews,1610612737,Garrison,garrison-mathews,25,G,6-6,215.0,1996-10-24,27,4,Lipscomb,1629726,Traded from HOU on 02/09/23
15,16,Vit Krejci,1610612737,Vit,vit-krejci,27,G,6-8,195.0,2000-06-19,23,2,Zaragoza,1630249,Signed on 12/22/23
16,17,Wesley Matthews,1610612737,Wesley,wesley-matthews,32,G,6-5,220.0,1986-10-14,37,14,Marquette,202083,Signed on 07/21/23
17,18,Saddiq Bey,1610612737,Saddiq,saddiq-bey,41,G-F,6-7,215.0,1999-04-09,25,3,Villanova,1630180,Traded from DET on 02/09/23
18,19,Jayson Tatum,1610612738,Jayson,jayson-tatum,0,F-G,6-8,210.0,1998-03-03,26,6,Duke,1628369,#3 Pick in 2017 Draft
19,20,Jrue Holiday,1610612738,Jrue,jrue-holiday,4,G,6-4,205.0,1990-06-12,33,14,UCLA,201950,Traded from POR on 10/01/23
20,21,Jaylen Brown,1610612738,Jaylen,jaylen-brown,7,G-F,6-6,223.0,1996-10-24,27,7,California,1627759,#3 Pick in 2016 Draft
21,22,Kristaps Porzingis,1610612738,Kristaps,kristaps-porzingis,8,F-C,7-2,240.0,1995-08-02,28,7,Cajasol Sevilla,204001,Traded from WAS on 06/23/23
22,23,Derrick White,1610612738,Derrick,derrick-white,9,G,6-4,190.0,1994-07-02,29,6,Colorado,1628401,Traded from SAS on 02/10/22
